Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Seat,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Fuel capacity,Starter,Top speed,Fuel control,Rear brakes,Wheels,Seat height,Wheelbase,Ignition,Clutch,Fuel consumption,Greenhouse gases,Lubrication system,Gearbox,Diameter,"Weight incl. oil, gas, etc",Color options,Exhaust system,Modifications compared to previous model,Ground clearance,Carrying capacity,Alternate seat height,Oil capacity,Electrical,Comments,0-100 km/h (0-62 mph),Driveline,Valves per cylinder,Torque
Lambretta LI 125 Series 3,1962,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,5.2 HP (3.8  kW)) @ 5200 RPM,7.0:1,52.0 x 58.0 mm (2.0 x 2.3 inches),Carburettor. DellÓrto,Air,,,,,3.50-10 ,3.50-10 ,Expanding brake (drum brake),Two single seats,103.9 kg (229.0 pounds),0.0501 HP/kg,1060 mm (41.7 inches),1825 mm (71.9 inches),710 mm (28.0 inches),,Kick,69.2 km/h (43.0 mph),,Expanding brake (drum brake),,,1290 mm (50.8 inches),,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Cardellino 83,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,83.0 ccm (5.06 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor. DellÓrto,Air,Chain   (final drive),,Telescopic,,2.25-20 ,2.25-20 ,Expanding brake (drum brake),Single seat,,,,,,,Kick,,,Expanding brake (drum brake),Spoked,,,,Wet multiplate,,,,,,,,,,,,,,,,,,,
Bultaco TSS,1962,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",,,13.5:1,,Carburettor,,Chain   (final drive),Tubular,Telescopic,,2.75-18 ,2.75-18 ,Expanding brake (drum brake),Single Seat,,,,,,,,,,Expanding brake (drum brake),Spoked,,,,Wet multiplate,,,,,,,,,,,,"710 mm (28.0 inches) If adjustable, highest setting.",,,,,,,
Matchless G3 350,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,347.0 ccm (21.17 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 5750 RPM,6.5:1,69.0 x 93.0 mm (2.7 x 3.7 inches),Carburettor. Amal,Air,Chain   (final drive),,Telescopic,Two schock,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Dual ,,,,,,,Kick,,,Expanding brake (drum brake),Spoked,,,,Wet multiplate,,,,,178 mm (7.0 inches),,,,,,,,,,,,,,
James L25 Commodore,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, two-stroke",,,,66.0 x 73.0 mm (2.6 x 2.9 inches),Carburettor,,Chain   (final drive),,,,,,Expanding brake (drum brake),,,,,,,,,,,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,,105.00 seconds,,,
Triumph Speed Twin ,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Twin, four-stroke",,27.0 HP (19.7  kW)) @ 6300 RPM,,,Carburettor. Amal,,Chain   (final drive),,Telescopic,Rigid-optional sprung hub,,,Expanding brake (drum brake),,158.8 kg (350.0 pounds),0.1701 HP/kg,,,,,,,Overhead Valves (OHV),Expanding brake (drum brake),,,1400 mm (55.1 inches),,,,,,,,,,,,,,,,,,,,,
Zündapp 250 S Trophy,1962,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",245.0 ccm (14.95 cubic inches),"Single cylinder, two-stroke",,14.5 HP (10.6  kW)) @ 5500 RPM,,67.0 x 70.0 mm (2.6 x 2.8 inches),Carburettor,Air,Chain   (final drive),,,,3.25-16 ,3.25-16 ,Expanding brake (drum brake),Dual ,136.0 kg (299.8 pounds),0.1066 HP/kg,,,,,,,,Expanding brake (drum brake),,,,,Wet multiplate,,,,4-speed,,,,,,,,,,,,,,,
Aermacchi Chimera 250,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,246.0 ccm (15.01 cubic inches),"Single cylinder, four-stroke",,13.7 HP (10.0  kW)) @ 6500 RPM,7.0:1,66.0 x 72.0 mm (2.6 x 2.8 inches),Carburettor. DellÓrto,Air,Chain   (final drive),,Telescopic,,2.50-17 ,2.50-17 ,Expanding brake (drum brake),Dual ,125.0 kg (275.6 pounds),0.1096 HP/kg,,,,,Kick,120.0 km/h (74.6 mph),,Expanding brake (drum brake),Spoked,,1360 mm (53.5 inches),Bobine,,,,,,140 mm (5.5 inches),,,,,,,,,,,,,,
Rickman Metisse Scrambler,1962,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",,35.0 HP (25.5  kW)),,86.0 x 85.5 mm (3.4 x 3.4 inches),Carburettor,Air,,Manganese molybdenum steel tubes,Telescopic fork,Dual shocks,,,Expanding brake (drum brake),,136.0 kg (299.8 pounds),0.2574 HP/kg,,,,7.50 litres (1.98 US gallons),Kick,,Overhead Valves (OHV),Expanding brake (drum brake),,,,,,,,,,,,Red,,,,,,3.10 litres (3.28 US quarts),,British company.,,,,
Vincent Sprinter Methamon,1962,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1148.0 ccm (70.05 cubic inches),"V2, two-stroke",,,,,,,,,,,,,,Single ,,,,,,,,241.0 km/h (149.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 60 2,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,594.0 ccm (36.25 cubic inches),"Two cylinder boxer, four-stroke",,30.1 HP (21.9  kW)) @ 5800 RPM,7.5:1,72.0 x 73.0 mm (2.8 x 2.9 inches),Carburettor. 24mm Bing,Air,Shaft drive (cardan)   (final drive),Steel doble cradle,Long swingarm-oil pressure shock absorbers,Twin shock-Swingarm,3.25-18.00 ,3.50-18.00 ,Expanding brake (drum brake). Duplex full hub,Single seat,195.0 kg (429.9 pounds),0.1541 HP/kg,980 mm (38.6 inches),2125 mm (83.7 inches),660 mm (26.0 inches),17.00 litres (4.49 US gallons),Kick,145.0 km/h (90.1 mph),Overhead Valves (OHV),Expanding brake (drum brake). Simplex full hub,,,1415 mm (55.7 inches),,Dry-single plate-cable operated,5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Wet sump ,4-speed,200 mm (7.9 inches),,,,,,360.00-with sidecar 360kg,,,,Price in 1969 for the bike was DM 3315.,,,,
MV Agusta Liberty Sport,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,47.7 ccm (2.91 cubic inches),"Single cylinder, four-stroke",,1.5 HP (1.1  kW)) @ 4500 RPM,7.5:1,39.0 x 42.0 mm (1.5 x 1.7 inches),,Air,,Double Cradle,Telescopic,"Swingarm , hydraulic Shock Absorbers",2-16 ,2-18 ,Expanding brake (drum brake),,58.0 kg (127.9 pounds),0.0259 HP/kg,,1790 mm (70.5 inches),710 mm (28.0 inches),9.00 litres (2.38 US gallons),,,,Expanding brake (drum brake),,,1110 mm (43.7 inches),Magneto,"Wet, multiplate",,,,,104 mm (4.1 inches),,Red,,,,,,,,,,,,
Hercules A 175,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,173.0 ccm (10.56 cubic inches),"Single cylinder, two-stroke",,9.3 HP (6.8  kW)) @ 5250 RPM,,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing 24mm,,Chain   (final drive),,Telescopic,Swingarm ,3.25-16 ,3.50-16 ,Expanding brake (drum brake),Dual ,140.0 kg (308.6 pounds),0.0664 HP/kg,,,,11.50 litres (3.04 US gallons),Kick,90.0 km/h (55.9 mph),,Expanding brake (drum brake),Spoked,,,,,,,,,150 mm (5.9 inches),,,,,,,,,,,,,,
Norton Atlas,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Twin, four-stroke",,58.0 HP (42.3  kW)) @ 6800 RPM,8.9:1,73.0 x 89.0 mm (2.9 x 3.5 inches),Carburettor. Amal,Air,Chain   (final drive),,Telescopic,Dual chocks,3.25-19 ,4.25-19 ,Expanding brake (drum brake). 203mm,Dual ,,,,,,,Kick,,,Expanding brake (drum brake). 178mm,Spoked,,,Electric,,,,,4-speed,,185.0 kg (407.9 pounds),,,,,,,,,,,,2,
Moto Guzzi Falcone Sport,1962,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",,18.0 HP (13.1  kW)) @ 4300 RPM,,88.0 x 82.0 mm (3.5 x 3.2 inches),Carburettor. DellÓrto,Air,Chain   (final drive),,,,3.25-19 ,3.25-19 ,Expanding brake (drum brake),,170.0 kg (374.8 pounds),0.1059 HP/kg,,,,17.00 litres (4.49 US gallons),,135.0 km/h (83.9 mph),,Expanding brake (drum brake),,,,,Wet multiplate,,,,4-speed,,,,,,,,,,,,,,,
Harley-Davidson FLH Duo Glide,1962,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1212.7 ccm (74.00 cubic inches),"V2, four-stroke",Panhead V-twin engine,55.0 HP (40.1  kW)),7.0:1,87.0 x 102.0 mm (3.4 x 4.0 inches),Carburettor,Air,Chain   (final drive),Tubular cradle,Hydraulic telescopic forks ,Swingarm. Dual coil-over-shocks. 3-step adjustable.,5.00-15 ,5.00-15 ,Expanding brake (drum brake),Solo seat,304.0 kg (670.2 pounds),0.1809 HP/kg,,,,14.19 litres (3.75 US gallons),Kick,160.0 km/h (99.4 mph),Overhead Valves (OHV),Expanding brake (drum brake),Wire spoked. Whitewall tyres.,,1500 mm (59.1 inches),,,,,,4-speed,,,,,,,Saddlebags,,3.80 litres (4.02 US quarts),6 Volt battery.,Windscreen. HD FLH models have higher compression then FL.,,,,
Maico Maicoletta 277,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,277.0 ccm (16.90 cubic inches),"Single cylinder, two-stroke",,,,71.0 x 70.0 mm (2.8 x 2.8 inches),Carburettor,,Chain   (final drive),Tubular steel,Telescopic,Swingarm-coil springs-dampers,,,Expanding brake (drum brake). 6.5 ,Dual ,,,970 mm (38.2 inches),2100 mm (82.7 inches),640 mm (25.2 inches),,,,,Expanding brake (drum brake),,"740 mm (29.1 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,
MZ RE125,1962,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.0 ccm (7.51 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,Chain   (final drive),,,,,,,Single ,,,,,,,,193.0 km/h (119.9 mph),,,Spoked,,,,,,,,,,,,,,,,,,,,,,,
Lambretta TV 175 Series 3,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,175.0 ccm (10.68 cubic inches),"Single cylinder, two-stroke",,8.8 HP (6.4  kW)) @ 5300 RPM,8.0:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. DellÓrto,Air,Chain   (final drive),,,,3.50-10 ,3.50-10 ,Single disc,Dual ,109.8 kg (242.0 pounds),0.0797 HP/kg,,,,,Kick,96.6 km/h (60.0 mph),,Expanding brake (drum brake),Chromed wheel rims,,,,,,,,,,,Ivory,,,,,,,,,,,,
NSU Maxi 175,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,174.0 ccm (10.62 cubic inches),"Single cylinder, four-stroke",,12.3 HP (9.0  kW)) @ 6500 RPM,7.8:1,62.0 x 58.0 mm (2.4 x 2.3 inches),Carburettor. Bing HD 2/22,Air,Chain   (final drive),,,Two schock,3.25-18 ,3.25-18 ,Expanding brake (drum brake),,,,1018 mm (40.1 inches),1997 mm (78.6 inches),655 mm (25.8 inches),10.80 litres (2.85 US gallons),Kick,110.0 km/h (68.4 mph),,Expanding brake (drum brake),,,,,Dry multiplate,,,,4-speed,,,,,,,,,,,,,,,
Puch 250 SGS 67,1962,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,248.0 ccm (15.13 cubic inches),"Single cylinder, two-stroke",,16.5 HP (12.0  kW)) @ 5800 RPM,6.5:1,78.0 x 45.0 mm (3.1 x 1.8 inches),Carburettor,,Chain   (final drive),,Telescopic,Swingarm,3-16 ,3.50-16 ,,Dual ,150.0 kg (330.7 pounds),0.1100 HP/kg,,,,13.00 litres (3.43 US gallons),,110.0 km/h (68.4 mph),,,Spoked,,,,,,,,4-speed,,,,,,,,,,,,,,,16.8 Nm (1.7 kgf-m or 12.4 ft.lbs) @ 3300 RPM
Zündapp Bella R203,1962,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",,10.0 HP (7.3  kW)) @ 5200 RPM,,64.0 x 62.0 mm (2.5 x 2.4 inches),Carburettor. Bing 22mm,Air,,Tubular,,,3.50-12 ,3.50-12 ,,Dual ,147.0 kg (324.1 pounds),0.0680 HP/kg,,,,8.50 litres (2.25 US gallons),Electric,90.0 km/h (55.9 mph),,,Spoked,,,,,3.30 litres/100 km (30.3 km/l or 71.28 mpg),76.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,4-speed,,,,,,,,"730 mm (28.7 inches) If adjustable, highest setting.",,,,,,,
Norton 650SS,1962,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,52.0 HP (38.0  kW)) @ 6800 RPM,8.9:1,68.0 x 89.0 mm (2.7 x 3.5 inches),Carburettor. Amal,Air,Chain   (final drive),Duplex steel cradle,Telescopic,Dual chocks,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Dual ,,,,,,13.50 litres (3.57 US gallons),,185.0 km/h (115.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),Spoked,,,,,,,,,,196.9 kg (434.0 pounds),,,,,,,,,,,,2,
Harley-Davidson Sportster XLCH,1962,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",45-degree V-twin,55.0 HP (40.1  kW)) @ 6300 RPM,9.1:1,76.0 x 98.0 mm (3.0 x 3.9 inches),Carburettor. NA,Air,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,,,,,,7.20 litres (1.90 US gallons),,185.1 km/h (115.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),,,,,,,,,,,218.0 kg (480.6 pounds),,,,,,,,,,,,,
Matchless G-12,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,646.0 ccm (39.42 cubic inches),"Twin, four-stroke",,35.0 HP (25.5  kW)) @ 6500 RPM,,,Carburettor. Amal,Air,Chain   (final drive),,Telescopic,Swingarm with coil-over shocks,,,Expanding brake (drum brake),,180.0 kg (396.8 pounds),0.1944 HP/kg,,,,,,,,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,,,Designer was Phil Walker,,,,
Honda CB77,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,305.0 ccm (18.61 cubic inches),"Twin, four-stroke",,28.2 HP (20.6  kW)) @ 9000 RPM,9.5:1,60.0 x 54.0 mm (2.4 x 2.1 inches),Carburettor,Air,Chain   (final drive),Tubular Steel,Telescopic,Swingarm ,2.75-18 ,3-18 ,Expanding brake (drum brake),,159.0 kg (350.5 pounds),0.1771 HP/kg,,,,14.00 litres (3.70 US gallons),Electric & kick,168.3 km/h (104.6 mph),Double Overhead Cams/Twin Cam (DOHC),Expanding brake (drum brake),,"760 mm (29.9 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),Battery and Coil,Wet Plate,,,,4-speed,,,Black,,,,,,,,,,,,23.1 Nm (2.4 kgf-m or 17.0 ft.lbs) @ 6000 RPM
Triumph T120 R Bonneville,1962,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",,46.0 HP (33.6  kW)) @ 6500 RPM,8.5:1,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal monobloc carburettor,Air,Chain   (final drive),Duplex frame,"Telescopic fork, hydraulic damping.","Twin shocks. Girlings 100 lb/ft spring tension, adjustable pre-set.",3.25-18 ,4.00-18 ,Expanding brake (drum brake),Dual seat,178.0 kg (392.4 pounds),0.2584 HP/kg,,,,15.14 litres (4.00 US gallons),,185.0 km/h (115.0 mph),Overhead Valves (OHV),Expanding brake (drum brake),Wire spoked,"770 mm (30.3 inches) If adjustable, lowest setting.",1400 mm (55.1 inches),Lucas K2F auto-advance Magneto,"Multi-plate, wet",,,,4-speed,178 mm (7.0 inches),,Flame orange/Sliver Sheen,,,127 mm (5.0 inches),,,,Lucas RM19 alternator,Road model with low exhaust pipes.,,,,
