Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Comments,Lubrication system,Rake (fork angle),Wheels,"Weight incl. oil, gas, etc",Overall height,Carrying capacity,Engine details,Fuel consumption,Greenhouse gases,Alternate seat height,Oil capacity,Light,Exhaust system,Instruments,Factory warranty,Emission details,Seat,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Reserve fuel capacity,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Engine oil,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Modifications compared to previous model,Coolant
Enfield Classic 500,2016,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",27.2 HP (19.9  kW)) @ 5250 RPM,41.3 Nm (4.2 kgf-m or 30.5 ft.lbs) @ 4000 RPM,120.0 km/h (74.6 mph),8.5:1,84.0 x 90.0 mm (3.3 x 3.5 inches),,Injection. Keihin EFI,Overhead Valves (OHV),Digital,Air,5-speed,Chain   (final drive),Mulitiplate,Constant mesh,"Single downtube, using engine as stressed member",,"Telescopic, 35mm forks, ",130 mm (5.1 inches),Twin gas charged shock absorbers with 5-step adjustable preload,80 mm (3.1 inches),90/90-18 ,110/90-18 ,Single disc. 2-Piston caliper,153 mm (6.0 inches),Expanding brake (drum brake),,,,2140 mm (84.3 inches),790 mm (31.1 inches),135 mm (5.3 inches),1360 mm (53.5 inches),13.50 litres (3.57 US gallons),"Beige, black, silver",Electric & kick,"12 volt, 14 Ah battery",Made in India. Brand full name is Royal Enfield.,Wet sump,,Wire spoked,190.0 kg (418.9 pounds),1090 mm (42.9 inches),,,,,,,"60 W / 55 W, halogen head light",,Analogue,,,Solo seat,,,,,,,,,,,,,,,,,,,,,
Yamaha XV950 Racer,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,942.0 ccm (57.48 cubic inches),"V2, four-stroke",51.4 HP (37.5  kW)) @ 5500 RPM,79.5 Nm (8.1 kgf-m or 58.6 ft.lbs) @ 8100 RPM,,9.0:1,85.0 x 83.0 mm (3.3 x 3.3 inches),4,Injection,Single Overhead Cams (SOHC),TCI,Air,5-speed,Belt   (final drive),"Wet, Multiple Disc",Constant Mesh,Double cradle,130 mm (5.1 inches),"Telescopic forks,   41  mm",135 mm (5.3 inches),Swingarm. Piggyback-style gas shocks.,110 mm (4.3 inches),100/90-19 ,150/80-16 ,Single disc. Wave disc. ABS.,298 mm (11.7 inches),Single disc. Wave disc. ABS.,,,"690 mm (27.2 inches) If adjustable, lowest setting.",2290 mm (90.2 inches),830 mm (32.7 inches),130 mm (5.1 inches),1570 mm (61.8 inches),12.00 litres (3.17 US gallons),"Yellow, dark grey",Electric,,,Wet sump,29.0°,"12-spoke cast wheels, black",251.0 kg (553.4 pounds),,,,,,,4.30 litres (4.54 US quarts),,2-into-1 exhaust pipe,,,,Single seat,,,,,,,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,
Honda TRX420FA2,2016,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,420.0 ccm (25.63 cubic inches),"Single cylinder, four-stroke",,,,,86.5 x 71.5 mm (3.4 x 2.8 inches),4,Injection. PGM-FI,Overhead Valves (OHV),Full-transistorized type with electronic advance,Liquid,Automatic,Shaft drive (cardan)   (final drive),Dual Clutch Transmission,Driveline Direct front and rear driveshafts ,Steel,,Independent double-wishbone,170 mm (6.7 inches),Swingarm with single shock,170 mm (6.7 inches),24/8-12 ,24/10-11 ,Double disc. Hydraulic,180 mm (7.1 inches),Expanding brake (drum brake). Sealed mechanical drum,,,"856 mm (33.7 inches) If adjustable, lowest setting.",2103 mm (82.8 inches),1205 mm (47.4 inches),183 mm (7.2 inches),1255 mm (49.4 inches),14.70 litres (3.88 US gallons),Red,Electric & kick,,Electric Power Steering. With reverse. Model Id: TRX420FA2. Sold in Australia.,Semi-dry-sump,,,291.0 kg (641.5 pounds),1174 mm (46.2 inches),,,,,,,,,,1 year,,Plush seat ,,,,,,,,,4.90 litres (1.29 US gallons),,,,,,,,,,,,
Mash Seventy 125,2016,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8750 RPM,,105.0 km/h (65.2 mph),,,,Carburettor,,CDI,Air,,Chain   (final drive),,,,,Telescopic fork,,Dual shock,,90/90-18 ,110/90-16 ,Single disc,220 mm (8.7 inches),Expanding brake (drum brake),110.0 kg (242.5 pounds),0.1000 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1970 mm (77.6 inches),720 mm (28.3 inches),,,12.00 litres (3.17 US gallons),Orange/white,Electric,,French brand. Bike made in China. Sold in Europe.,,,,,1115 mm (43.9 inches),,,,,,,,,,2 years,,,,,,,,,,,,,,,,,,,,,,,
Honda NM4,2016,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,670.0 ccm (40.88 cubic inches),"Twin, four-stroke",,,,10.7:1,73.0 x 80.0 mm (2.9 x 3.1 inches),4,"Injection. PGM-FI, 36mm throttle body",Single Overhead Cams (SOHC),Digital transistorized with electronic advance,Liquid,Automatic,Chain   (final drive),Automatic six-speed with two automatic modes and a manual mode,,,110 mm (4.3 inches),41mm fork,99 mm (3.9 inches),Pro-Link® single shock,99 mm (3.9 inches),120/70-ZR18 ,160/60-ZR17 ,Single disc. ABS. Two-piston calipers. ,240 mm (9.4 inches),Single disc. ABS. Single-piston caliper. ,,,"650 mm (25.6 inches) If adjustable, lowest setting.",,,,1646 mm (64.8 inches),14.00 litres (3.70 US gallons),Matte Black Metallic,Electric,,Model ID: NC700JD. Small windscreen.,,27.0°,,254.9 kg (562.0 pounds),,,,3.68 litres/100 km (27.2 km/l or 63.92 mpg),85.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,One year. Unlimited milage. Transferable.,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard S40,2016,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",,,,9.4:1,94.0 x 94.0 mm (3.7 x 3.7 inches),,"Carburettor. Mikuni BS40, single",Overhead Cams (OHC),Electronic ignition (transistorized),Air,5-speed,Belt   (final drive),,Constant mesh,Steel frame with tubular backbone,,"Telescopic, coil spring, oil damped",,"Swing arm type, coil spring, oil damped",,100/90-M19 ,140/80-M15 ,Single disc,,Expanding brake (drum brake),,,"700 mm (27.6 inches) If adjustable, lowest setting.",2180 mm (85.8 inches),720 mm (28.3 inches),135 mm (5.3 inches),1480 mm (58.3 inches),10.60 litres (2.80 US gallons),"Metallic Triton Blue, Pearl Glacier White",Electric,,,Wet sump,,Polished wire spoked wheels,173.0 kg (381.4 pounds),,,,,,,,,,,12 month unlimited mileage limited warranty.,,One-piece saddle,,,,,,,,,,,,,,,,,,,,,
Kymco Super 8 50X,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",1.9 HP (1.4  kW)) @ 7400 RPM,4.1 Nm (0.4 kgf-m or 3.0 ft.lbs) @ 7000 RPM,,,39.0 x 41.4 mm (1.5 x 1.6 inches),,Carburettor,Single Overhead Cams (SOHC),,Air,Automatic,Belt   (final drive),"Wet, multiplate",CVT,Steel,,Telescopic forks,80 mm (3.1 inches),Mono Shock,25 mm (1.0 inches),120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),95.5 kg (210.5 pounds),0.0199 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",1933 mm (76.1 inches),683 mm (26.9 inches),,1321 mm (52.0 inches),4.92 litres (1.30 US gallons),"Black, white",Electric & kick,,,,,,,1128 mm (44.4 inches),Underseat Storage,,3.27 litres/100 km (30.6 km/l or 71.93 mpg),75.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,2-Year Factory Warranty,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RV200 Van Van,2016,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",,,,9.4:1,66.0 x 58.2 mm (2.6 x 2.3 inches),,Injection,Single Overhead Cams (SOHC),Transistorised,Air,5-speed,Chain   (final drive),,,Single downtube,91 mm (3.6 inches),"Telescopic, coil spring, oil damped",110 mm (4.3 inches),"Swingarm type, coil spring, oil damped",136 mm (5.4 inches),130/80-18 ,180/80-14 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,"770 mm (30.3 inches) If adjustable, lowest setting.",2140 mm (84.3 inches),860 mm (33.9 inches),,1385 mm (54.5 inches),6.50 litres (1.72 US gallons),"Blue, black, grey",Electric,,Balloon tires.,Wet sump,26.0°,Wire spoked,128.0 kg (282.2 pounds),1120 mm (44.1 inches),Luggage Rack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R1000,2016,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",185.0 HP (135.0  kW)) @ 11500 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 10000 RPM,,12.9:1,74.5 x 57.3 mm (2.9 x 2.3 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),,"Chain, DID50VAZ, 114 links",Twin-spar frame made of five cast sections,,"Showa inverted telescopic, coil spring, oil damped",120 mm (4.7 inches),"Link type, coil spring, oil damped",130 mm (5.1 inches),120/70-ZR17 ,190/50-ZR17 ,Double disc. Brembo,220 mm (8.7 inches),Single disc,,,"810 mm (31.9 inches) If adjustable, lowest setting.",2045 mm (80.5 inches),705 mm (27.8 inches),130 mm (5.1 inches),1485 mm (58.5 inches),19.00 litres (5.02 US gallons),Metallic Triton Blue,Electric,,Push-button selection of three performance settings.,Wet sump with oil cooler,,,203.0 kg (447.5 pounds),,,,,,,,,4-2-1 exhaust system,"Silver-ringed analog tachometer with LCD speedometer. LCD readouts include odometer, dual trip meters, reserve trip meter, clock, coolant temperature/oil pressure warning indicator, gear position indicator, lap timer/stopwatch, S-DMS setting indicator and bar-graph indicating the instrument lighting level, or brightness.",12 month unlimited mileage limited warranty.,,Optional single seat.,,,,,,,,,,,,,,,,,,,,,
ZEV LRC 12.2,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,16.4 HP (11.9  kW)),,,,,,,,,Air,Automatic,,,With reverse,Double rail chassis,,Telescopic fork,,Twin gas shocks,,,,Double disc,240 mm (9.4 inches),Single disc,,,,,,,1680 mm (66.1 inches),,"Silver, yellow, green",Electric,,10 Kw Lithium battery. Range 140 miles. 4.5 hours charging time. Windshield.,,,,220.0 kg (485.0 pounds),,Under-seat storage. Three front compartments. Optional top box.,Electric hub motor,,,"711 mm (28.0 inches) If adjustable, highest setting.",,,,Automatic display ambient light compensation. ,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
Yamaha YBR125 Custom,2016,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 7800 RPM,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 6000 RPM,,10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),2,Injection,Single Overhead Cams (SOHC),TCI,Air,5-speed,Chain   (final drive),"Wet, multiple-disc coil spring",Constant Mesh,"Diamond Shaped, steel",90 mm (3.5 inches),Telescopic forks,120 mm (4.7 inches),Link suspension,105 mm (4.1 inches),3.00-18 ,3.50-16 ,Double disc. Hydraulic,130 mm (5.1 inches),Expanding brake (drum brake),,,"760 mm (29.9 inches) If adjustable, lowest setting.",2055 mm (80.9 inches),845 mm (33.3 inches),140 mm (5.5 inches),1290 mm (50.8 inches),12.00 litres (3.17 US gallons),"Light gray, red, black",Electric & kick,,Chrome styling and raised handlebars. Custom-style teardrop fuel tank. Ultra-low slung seat for comfortable riding. Rear carrier with integral grab rail.,,26.0°,,129.0 kg (284.4 pounds),,Rear rack.,Forward-inclined single cylinder,,,,1.20 litres (1.27 US quarts),,EU3-compliant slash-cut muffler,,,EU 3,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 800 XCX,2016,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",799.0 ccm (48.75 cubic inches),"In-line three, four-stroke",95.0 HP (69.3  kW)) @ 9300 RPM,79.0 Nm (8.1 kgf-m or 58.3 ft.lbs) @ 7850 RPM,,11.3:1,74.0 x 61.9 mm (2.9 x 2.4 inches),4,Injection. Multipoint sequential electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,O ring chain,"Tubular steel trellis. Twin-­sided, cast aluminium alloy swingarm.",95 mm (3.8 inches),"WP 43 mm upside down forks, adjustable rebound and compression damping",220 mm (8.7 inches),"WP monoshock with remote oil reservoir, hydraulically adjustable preload, rebound damping adjustment",215 mm (8.5 inches),90/90-21 ,150/70-17 ,"Double disc. Floating discs, Nissin 2-piston sliding calipers, Switchable ABS. ",255 mm (10.0 inches),"Single disc. Nissin single piston sliding caliper, Switchable ABS.",196.0 kg (432.1 pounds),0.4847 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",2215 mm (87.2 inches),865 mm (34.1 inches),,1545 mm (60.8 inches),19.00 litres (5.02 US gallons),"Phantom Black, Crystal White, Caspian Blue",Electric,,Windscreen. Traction control. Cruise control. Available in a low seat version.,,24.3°,"Wire spoked, aluminium rim",220.0 kg (485.0 pounds),1390 mm (54.7 inches),"Top box, saddle bags",,5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,"860 mm (33.9 inches) If adjustable, highest setting.",3.70 litres (3.91 US quarts),,Stainless steel 3 into 1. high level stainless steel silencer,"LCD multi-functional instrument pack with digital speedometer, trip computer, analogue tachometer, gear position indicator, fuel gauge, service indicator, switchable ABS and clock",24 months unlimited milage,,,,,,,,,,,,,,,,,,,,,,,
Mash Roadstar,2016,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,390.0 ccm (23.80 cubic inches),"Single cylinder, four-stroke",29.0 HP (21.2  kW)),,,,,4,Injection. Siemens,Single Overhead Cams (SOHC),,Air,5-speed,Chain   (final drive),,,,,Telescopic Forks,,Twin Shocks with Adjustable Pre-Load,,,,Single disc,,Expanding brake (drum brake),,,"780 mm (30.7 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),740 mm (29.1 inches),,,13.00 litres (3.43 US gallons),"Heritage black, Dakota red",Electric & kick,,,Dry sump,,,151.0 kg (332.9 pounds),1130 mm (44.5 inches),,,,,,,,,,2 years,,,,,,,,,,,,,,,,,,,,,,,
Honda Metropolitan,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,,,,Injection. PGM-FI with automatic enrichment,,CDI,,Automatic,Belt   (final drive),,,,,Twin-downtube fork,53 mm (2.1 inches),Single shock,58 mm (2.3 inches),80/100-10 ,80/100-10 ,Expanding brake (drum brake),,Expanding brake (drum brake). CBS,,,"719 mm (28.3 inches) If adjustable, lowest setting.",,,,1181 mm (46.5 inches),4.54 litres (1.20 US gallons),"Pearl White, Pearl Blue, Red",Electric,,Model ID: NCH50,,,,81.2 kg (179.0 pounds),,22-Liter Underseat Storage,,2.01 litres/100 km (49.8 km/l or 117.03 mpg),46.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,One year. Unlimited milage. Transferable.,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R50E,2016,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,,9.5:1,36.0 x 48.6 mm (1.4 x 1.9 inches),2,Carburettor. Mikuni VM11,Single Overhead Cams (SOHC),CDI,Air,3-speed,Chain   (final drive),Automatic centrifugal clutch,,Steel backbone,,Inverted telescopic fork,97 mm (3.8 inches),Single shock,71 mm (2.8 inches),2.50-10 ,2.50-10 ,Expanding brake (drum brake),80 mm (3.1 inches),Expanding brake (drum brake),,,"556 mm (21.9 inches) If adjustable, lowest setting.",1306 mm (51.4 inches),594 mm (23.4 inches),135 mm (5.3 inches),925 mm (36.4 inches),3.10 litres (0.82 US gallons),Team Yamaha Blue/White,Electric,,,,,,57.2 kg (126.0 pounds),795 mm (31.3 inches),,Automatic cam chain tensioner,,,,,,,,90 Day Limited Factory Warranty,,,,,,,,,,,,,,,,,,,,,,,
Tomos E-lite 45,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,1.8 HP (1.3  kW)),,45.0 km/h (28.0 mph),,,,,,,Air,Automatic,Belt   (final drive),,,,,Telescopic fork,,Swing arm with single shock absorber,,80/100-10 ,80/100-10 ,Expanding brake (drum brake),95 mm (3.7 inches),Expanding brake (drum brake),64.0 kg (141.1 pounds),0.0283 HP/kg,,1655 mm (65.2 inches),1005 mm (39.6 inches),,1170 mm (46.1 inches),,"Beige, blue, silver, black",Electric,,One or two 48V 20Ah Lithium batteries. Range 40 or 70 km. Slovenian made scooter.,,,,,630 mm (24.8 inches),,,,,,,,,Digital,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
Ariel Ace,2016,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1237.0 ccm (75.48 cubic inches),"V4, four-stroke",173.0 HP (126.3  kW)) @ 10000 RPM,131.0 Nm (13.4 kgf-m or 96.6 ft.lbs) @ 8750 RPM,265.5 km/h (165.0 mph),,81.0 x 60.0 mm (3.2 x 2.4 inches),,Injection,,,Liquid,6-speed,Chain   (final drive),,,Anodised machined and welded aluminium perimeter frame,,Showa 43mm adjustable cartridge type telescopic forks,,Pro link single sided swing arm. Showa adjustable damper,,120/70-ZR17 ,190/50-ZR17 ,Double disc. ABS,276 mm (10.9 inches),Single disc. ABS,,,"745 mm (29.3 inches) If adjustable, lowest setting.",,,,1541 mm (60.7 inches),12.00 litres (3.17 US gallons),"Red/white/gold, White/black, custom colors",Electric,,Switchable traction control. Limited edition of 100-150 customized units.,,,Various options.,,,,Honda V4 engine,,,,,LED headlamp,Stainless steel exhaust,"Digital LCD display with gear indicator, datalogging capability.",,,,,,,,,,,,,,3.10 seconds,,,,,,,,,,
Kawasaki KLR 650,2016,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.0 ccm (39.72 cubic inches),"Single cylinder, four-stroke",,,,9.8:1,100.0 x 83.0 mm (3.9 x 3.3 inches),,Carburettor. Keihin CVK40,Double Overhead Cams/Twin Cam (DOHC),Electric CDI,Liquid,5-speed,Chain   (final drive),,,"Semi-double cradle, high-tensile steel",112 mm (4.4 inches),41mm telescopic fork,201 mm (7.9 inches),Uni-Trak   single-shock system with 5-way preload and stepless rebound damping,185 mm (7.3 inches),90/90-21 ,130/80-17 ,Single disc. Two-piston calipers. ,280 mm (11.0 inches),Single disc. Single piston,,,"889 mm (35.0 inches) If adjustable, lowest setting.",2296 mm (90.4 inches),960 mm (37.8 inches),211 mm (8.3 inches),1481 mm (58.3 inches),23.09 litres (6.10 US gallons),"Candy Lime Green, Ebony",Electric,,,,28.0°,,196.0 kg (432.0 pounds),1349 mm (53.1 inches),,,,,,,,,,12 Months,,,,,,,,,,,,,,,,,,,,,,,
Motorino Supremo 50,2016,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",3.2 HP (2.4  kW)) @ 7500 RPM,3.5 Nm (0.4 kgf-m or 2.6 ft.lbs) @ 6000 RPM,,10.5:1,39.0 x 41.1 mm (1.5 x 1.6 inches),,Carburettor,,CDI,Air,Automatic,Belt   (final drive),,,,,Telescopic fork,,Swing arm with hydraulic single shock,,4.00-12 ,4.00-12 ,Single disc. ABS,,Expanding brake (drum brake),99.8 kg (220.0 pounds),0.0323 HP/kg,,1803 mm (71.0 inches),737 mm (29.0 inches),,1270 mm (50.0 inches),5.68 litres (1.50 US gallons),"Red, yellow, silver",Electric & kick,,"Anti-theft Locking steering wheel, locking storage. Sold in the US.",,,,,1041 mm (41.0 inches),"Storage Under seat, glove compartment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB1100,2016,Classic," 3.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",1140.0 ccm (69.56 cubic inches),"In-line four, four-stroke",88.5 HP (64.6  kW)) @ 7500 RPM,91.0 Nm (9.3 kgf-m or 67.1 ft.lbs) @ 5000 RPM,,9.5:1,73.5 x 67.2 mm (2.9 x 2.6 inches),4,"Injection. PGM-FI with automatic enrichment circuit, 32mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),Digital transistorized with electronic advance,Oil & air,6-speed,Chain   (final drive),,#530 O-ring-sealed chain,Double steel cradle,114 mm (4.5 inches),41mm fork with spring preload adjustability,107 mm (4.2 inches),Dual shocks with spring preload adjustability,114 mm (4.5 inches),110/80-18 ,140/70-18 ,Double disc. Floating discs. Four-piston calipers. ,256 mm (10.1 inches),Single disc. Single-piston caliper. ,,,"792 mm (31.2 inches) If adjustable, lowest setting.",,,,1491 mm (58.7 inches),14.76 litres (3.90 US gallons),Black,Electric,,Model ID: CB1100,,27.0°,,244.9 kg (540.0 pounds),,,,,,,,,,,One year. Unlimited milage. Transferable.,Meets current EPA standards. California version meets current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
ZEV 2700 L,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,4.8 HP (3.5  kW)),,48.3 km/h (30.0 mph),,,,,,,Air,Automatic,,,,,,Telescopic fork,,Twin shocks,,,,Double disc,,Single disc,117.0 kg (257.9 pounds),0.0413 HP/kg,,,,,,,"Yellow, black",Electric,,72Volt 32Ah Lead Silicate battery. Range 25 miles. ZEV is an abbreviation of Z Electric Vehicle. US brand.,,,,,,Large rear rack. Front basket. Optional rear cargo box.,Electric hub motor in rear wheel,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
