Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Lubrication system,Clutch,Frame type,Compression,Valves per cylinder,Fuel system,Fuel control,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Color options,Comments,Top speed,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Exhaust system,Reserve fuel capacity,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Max RPM,Alternate seat height,Modifications compared to previous model,0-100 km/h (0-62 mph),Belt teeth,Belt width,Engine details,Front percentage of weight,Rear percentage of weight,Emission details,Pulley teeth,Wheels
Kawasaki Ninja ZX-6 RR,2005,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",,,67.0 x 42.5 mm (2.6 x 1.7 inches),Digital,Liquid,6-speed,Chain   (final drive),"41mm inverted cartridge fork with TiSiCN coating on inner fork tube, rebound and compression damping, plus spring preload adjustability and top-out springs","Bottom-link UNI-TRAK® with gas-charged shock, stepless compression and rebound damping, spring preload adjustability and top-out spring","Double disc. Semi-floating petal discs with dual radial-mounted, four-piston calipers.",Single disc. Petal disc with single-caliper piston.,,,,,,,17.03 litres (4.50 US gallons),Electric,,,Twin spar aluminum,13.5:1,4,Injection.  Fuel injection with (4) 38mm throttle bodies,Double Overhead Cams/Twin Cam (DOHC),119 mm (4.7 inches),132 mm (5.2 inches),120/65-ZR17 ,180/55-ZR17 ,220 mm (8.7 inches),,,,Kawasaki Lime Green,,,,,25.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Boulevard C90,2005,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1474.9 ccm (90.00 cubic inches),"V2, four-stroke",,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs),96.0 x 101.0 mm (3.8 x 4.0 inches),Digital transistorized ,Oil & air,5-speed,Shaft drive (cardan)   (final drive),"Telescopic, coil spring, oil damped","Link-type, oil damped, 5-way adjustable spring preload",Double disc. Four-piston calipers. ,Single disc. Two-piston calipers. ,302.0 kg (665.8 pounds),,1125 mm (44.3 inches),2525 mm (99.4 inches),1020 mm (40.2 inches),1700 mm (66.9 inches),14.00 litres (3.70 US gallons),Electric,Wet sump,,"Soft-tail-style frame creates a continuous flowing line from the headlight, through the fuel tank, seat and rear fender",8.5:1,3,Injection,Single Overhead Cams (SOHC),,,150/80-16 ,180/70-M15 ,180 mm (7.1 inches),,"700 mm (27.6 inches) If adjustable, lowest setting.",140 mm (5.5 inches),"Black/Blue, Black/Gray",,,,,32.0°,,,,,3.40 litres (3.59 US quarts),SAE 10W-40,HiFlo HF138,DOT 4,2.00 litres (0.53 US gallons),YTX16-BS-1,"NGK DPR7EA-9, NGK DPR7EIX-9",1100  +/- 100  RPM,,,,29 PSI (2 Bar or 200 kPa),36 PSI (2.5 Bar or 250 kPa),41 mm (1.6 inches),,,,,,,,,,,,
Kawasaki KDX 220 R,2005,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",216.0 ccm (13.18 cubic inches),"Single cylinder, two-stroke",,,69.0 x 58.0 mm (2.7 x 2.3 inches),Electronic CDI,Liquid,6-speed,Chain   (final drive),43mm conventional cartridge fork,UNI-TRAK® single-shock system,Single disc. Hydraulic.,Single disc,101.0 kg (222.6 pounds),,1229 mm (48.4 inches),,889 mm (35.0 inches),1435 mm (56.5 inches),10.97 litres (2.90 US gallons),,,,High-tensile steel perimeter design,7.2:1,,Carburettor.  Keihin PWK33,,,,80/90-21 ,100/80-18 ,,,"919 mm (36.2 inches) If adjustable, lowest setting.",340 mm (13.4 inches),Kawasaki Lime Green,,,,,26.5°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 RT,2005,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",93.9 HP (68.5  kW)) @ 7250 RPM,100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 5500 RPM,101.0 x 70.5 mm (4.0 x 2.8 inches),,Oil & air,6-speed,Shaft drive (cardan)   (final drive),BMW Motorrad Telelever,Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever,Double disc,Double disc,255.1 kg (562.4 pounds),0.3680 HP/kg,1380 mm (54.3 inches),2230 mm (87.8 inches),898 mm (35.4 inches),1485 mm (58.5 inches),25.20 litres (6.66 US gallons),Electric,,"Single-disc dry clutch, hydraulically operated","Three-section composite frame consisting of front and rear section, load bearing engine.",11.3:1,4,"Injection.  Electronic intake pipe injection/digital engine management: Bosch Motronic MA 2.4 with overrun fuel cut-off, twin spark ignition",Single Overhead Cams (SOHC),35 mm (1.4 inches),135 mm (5.3 inches),120/70-ZR17 ,170/60-ZR17 ,276 mm (10.9 inches),279.0 kg (615.1 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",,,ABS brakes.,,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,27.1°,122 mm (4.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ 85,2005,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",85.0 ccm (5.19 cubic inches),"Single cylinder, two-stroke",,,54.0 x 0.0 mm (2.1 x  inches),,Liquid,5-speed,Chain   (final drive),Kayaba,Kayaba,Single disc,Single disc,,,,,,,,,,,,,,Carburettor,,,,,,190 mm (7.5 inches),,,,Team Yamaha Blue/White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing SMM 530 F Black Dream e.s.,2005,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",527.7 ccm (32.20 cubic inches),"Single cylinder, four-stroke",,,98.0 x 70.0 mm (3.9 x 2.8 inches),Koukusan CDI electronic with variable advance.,Liquid,6-speed,Chain   (final drive),Kayaba/Paioli  USD (optional OIhlins),Ohlins,Single disc,Single disc,,,,,,,8.00 litres (2.11 US gallons),Electric & kick,Dry sump with double rotor pump,Multiple-disk in oil-bath with hydraulic control,CrMo. Perimetral oval section.,,4,Carburettor. Mikuni TDMR 41,Double Overhead Cams/Twin Cam (DOHC),,,120/70-ZR17 ,150/60-ZR17 ,220 mm (8.7 inches),,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 110,2005,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",111.0 ccm (6.77 cubic inches),"Single cylinder, four-stroke",,,53.0 x 50.6 mm (2.1 x 2.0 inches),,Air,3-speed,Chain   (final drive),"Telescopic, oil-damped","Link-type, oil-damped",Single disc,Single disc,64.0 kg (141.1 pounds),,955 mm (37.6 inches),1555 mm (61.2 inches),770 mm (30.3 inches),1065 mm (41.9 inches),3.80 litres (1.00 US gallons),,,,,9.5:1,,Carburettor,Single Overhead Cams (SOHC),,,70/90-17 ,90/90-14 ,,,"650 mm (25.6 inches) If adjustable, lowest setting.",190 mm (7.5 inches),Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomos MC 50 Junior,2005,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,38.0 x 43.0 mm (1.5 x 1.7 inches),CDI,Air,2-speed,Chain   (final drive),Telescopic Fork,Single shock,Expanding brake (drum brake),Expanding brake (drum brake),89.4 kg (197.0 pounds),,,,,1029 mm (40.5 inches),2.49 litres (0.66 US gallons),,,,,10.0:1,,Carburettor.  12mm Dell´orto 14-12P,,,114 mm (4.5 inches),,,95 mm (3.7 inches),,"625 mm (24.6 inches) If adjustable, lowest setting.",208 mm (8.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli ZQ 150-15,2005,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",149.5 ccm (9.12 cubic inches),"Single cylinder, two-stroke",10.7 HP (7.8  kW)),,,,Air,,,,,Single disc,Expanding brake (drum brake),130.0 kg (286.6 pounds),0.0825 HP/kg,1150 mm (45.3 inches),2050 mm (80.7 inches),720 mm (28.3 inches),1310 mm (51.6 inches),,Electric & kick,,,,,,,,,,,,,,,,Multicolored,Model also known as Veli Motor ZQ150-15.,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 RR,2005,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",,,75.0 x 56.5 mm (3.0 x 2.2 inches),Computer-controlled digital transistorized with three-dimensional mapping,Liquid,6-speed,Chain   (final drive),"43.0mm inverted HMAS cartridge fork with spring-preload, rebound and compression-damping adjustability","HMAS Pro-Link single shock with spring-preload, rebound and compression-damping adjustability",Double disc. Full-floating. 4-piston calipers.,Single disc. 1-piston calipers,179.6 kg (396.0 pounds),,,,,1412 mm (55.6 inches),18.16 litres (4.80 US gallons),Electric,,,,11.9:1,,Injection.  Dual Stage Fuel Injection (DSFI),Double Overhead Cams/Twin Cam (DOHC),119 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,190/50-ZR17 ,220 mm (8.7 inches),,"826 mm (32.5 inches) If adjustable, lowest setting.",,"Black/Metallic Silver, Red/Black, Titanium/Black, Blue/Orange/White/Red",Model ID: CBR1000RR,,,,23.8°,102 mm (4.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Skywave 250 Type S,2005,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",32.2 HP (23.5  kW)),17.0 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 3300 RPM,,,Liquid,5-speed,,,,,,,,,,,1590 mm (62.6 inches),13.00 litres (3.43 US gallons),,,,Pipe under bone,,,,Single Overhead Cams (SOHC),,,,,,,,,,Model for the Japanese marked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RSV 1000 R Factory,2005,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",138.7 HP (101.3  kW)) @ 9500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5500 RPM,97.0 x 67.5 mm (3.8 x 2.7 inches),"Digital electronic ignition, with one spark plug per cylinder and integrated injection",Oil & air,6-speed,Chain   (final drive),"43 mm Showa upside-down fork, with adjustable compression, rebound and preload.","Aluminium alloy double member swingarm. Aprilia Progressive System (APS) linkages. Sachs monoshock with adjustable compression, rebound, preload and length.",Double disc. 4-piston calipers,Single disc. 2-piston calipers,185.0 kg (407.9 pounds),0.7498 HP/kg,1145 mm (45.1 inches),2035 mm (80.1 inches),730 mm (28.7 inches),,15.00 litres (3.96 US gallons),Electric,Dry sump with separate oil tank.,Multiple disc wet clutch with patented PPC power-assisted hydraulic control and pneumatic power clutch. Braided metal clutch line. Radial pump with 15 mm piston.,Box section sloping twin-spar frame in aluminium alloy.,11.8:1,4,Injection.  Integrated electronic engine management system. Indirect multipoint electronic injection. Throttle body diameter,Double Overhead Cams/Twin Cam (DOHC),120 mm (4.7 inches),133 mm (5.2 inches),120/70-17 ,190/50-17 ,220 mm (8.7 inches),,,,"Aprilia Black, Fluo Red, Mirror Silver",,,,,,,Double silencer with three-way catalytic converter and lambda sensor (Euro 2),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 640 LC4 SMC Orange,2005,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",53.6 HP (39.2  kW)) @ 6750 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 5750 RPM,101.0 x 78.0 mm (4.0 x 3.1 inches),Kokusan DC-CDI,Liquid,5-speed,Chain   (final drive),WP-USD 48 mm (1.89´,WP - Monoshock,Single disc,Single disc,149.0 kg (328.5 pounds),0.3600 HP/kg,640 mm (25.2 inches),,640 mm (25.2 inches),1510 mm (59.4 inches),11.20 litres (2.96 US gallons),Electric & kick,Pressure lubrication with 2 Eaton pumps,"Wet multi-disc clutch, operated hydraulically","Chromium-molybdenum, power-coated",11.7:1,4,Carburettor.  Mikuni BST 40,Overhead Cams (OHC),,335 mm (13.2 inches),120/70-17 ,,220 mm (8.7 inches),,"910 mm (35.8 inches) If adjustable, lowest setting.",280 mm (11.0 inches),,Not available in the USA.,,,,27.0°,99 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Thunderbird A350E,2005,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,27.1 Nm (2.8 kgf-m or 20.0 ft.lbs) @ 3500 RPM,70.0 x 90.0 mm (2.8 x 3.5 inches),Electronic CDI,Air,5-speed,Chain   (final drive),Hydraulic forks,ES Nitrox gas-damped twin coil springs,Single disc. Twin piston caliper,Expanding brake (drum brake),170.0 kg (374.8 pounds),0.1059 HP/kg,,2120 mm (83.5 inches),750 mm (29.5 inches),1370 mm (53.9 inches),14.50 litres (3.83 US gallons),Electric & kick,Wet sump,Wet multiplate,Cast Iron,8.5:1,2,Carburettor. Ucal-Mikuni CV,Overhead Cams (OHC),155 mm (6.1 inches),60 mm (2.4 inches),3.25-19 ,3.50-19 ,153 mm (6.0 inches),180.0 kg (396.8 pounds),"740 mm (29.1 inches) If adjustable, lowest setting.",140 mm (5.5 inches),"Silver, Red, Blue, Black",Great low-end torque.,120.0 km/h (74.6 mph),2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,23.0°,,Single ´bazooka´ chromed cast-iron,1.25 litres (0.33 US gallons),,,,,,,,,,,,,,,,6500,,"Includes rear gas-shocks. Disc brake, electric starter",14.00 seconds,,,,,,,,
BMW R 1150 R Rockster,2005,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",83.8 HP (61.2  kW)) @ 6750 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 5250 RPM,101.0 x 70.5 mm (4.0 x 2.8 inches),,Oil & air,6-speed,Shaft drive (cardan)   (final drive),BMW Motorrad Telelever,Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever,Double disc,Double disc,219.0 kg (482.8 pounds),0.3827 HP/kg,1097 mm (43.2 inches),2170 mm (85.4 inches),920 mm (36.2 inches),1486 mm (58.5 inches),20.50 litres (5.42 US gallons),Electric,,"Single-disc dry clutch, hydraulically operated","three-section composite frame consisting of front and rear section, load bearing engine.",10.3:1,4,"Injection.  Electronic intake pipe injection/digital engine management: Bosch Motronic MA 2.4 with overrun fuel cut-off, twin spark ignition",,35 mm (1.4 inches),135 mm (5.3 inches),120/70-ZR17 ,180/55-ZR17 ,276 mm (10.9 inches),239.0 kg (526.9 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",,,ABS brakes.,197.0 km/h (122.4 mph),4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,26.9°,125 mm (4.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 883 Sportster,2005,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)),69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 4200 RPM,76.2 x 96.8 mm (3.0 x 3.8 inches),Digital CDI,Air,5-speed,Belt   (final drive),39mm Telescopic forks,"Coil-over, dual-adjustable preload",Single disc. Two-piston calipers. ,Single disc. Single-piston caliper. ,251.0 kg (553.4 pounds),0.2709 HP/kg,,2260 mm (89.0 inches),,1520 mm (59.8 inches),12.90 litres (3.41 US gallons),Electric,,Multi-plate clutch with diaphragm spring in oil bath.,"Mild steel, tubular frame, circular sections, cast junctions",9.0:1,2,Carburettor,Overhead Valves (OHV),,,100/90-19 ,150/80-16 ,292 mm (11.5 inches),264.4 kg (582.9 pounds),"693 mm (27.3 inches) If adjustable, lowest setting.",141 mm (5.6 inches),"Vivid black, brilliant silver pearl, sierra red pearl, chopper blue pearl, two tone purple",Rubber-mounted engine.,,,,29.6°,117 mm (4.6 inches),,,,2.80 litres (2.96 US quarts),SAE 20W-50,ProFilter PF-170B,DOT 5 Silicone,,YTX14L-BS,"NGK DPR7EA-9, NGK DPR7EIX-9",1000  RPM,,,28/68 (front/rear),,,39 mm (1.5 inches),,,,,136,1 1/8,,,,,,
Blata Minimotard 2.5,2005,"Minibike, cross"," 3.3  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",39.9 ccm (2.43 cubic inches),"Single cylinder, two-stroke",2.5 HP (1.8  kW)) @ 8700 RPM,3.5 Nm (0.4 kgf-m or 2.6 ft.lbs) @ 6000 RPM,,Contact-less,Air,,,,,Single disc,Single disc,19.2 kg (42.3 pounds),0.1302 HP/kg,,940 mm (37.0 inches),500 mm (19.7 inches),,1.00 litres (0.26 US gallons),,,Centrifugal automatic,High Tensile steel tubing (welded),,,Carburettor. Dell´Orto 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL 50 Q,2005,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.7 HP (2.0  kW)),,,,Air,,,,,Expanding brake (drum brake),Expanding brake (drum brake),65.0 kg (143.3 pounds),0.0412 HP/kg,1190 mm (46.9 inches),1355 mm (53.3 inches),850 mm (33.5 inches),900 mm (35.4 inches),,Kick,,,,,,,,,,,,,,,,,Minibike also known as Veli Motor VL50Q.,50.0 km/h (31.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Vino 125,2005,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,51.5 x 60.0 mm (2.0 x 2.4 inches),,Air,Automatic,Belt   (final drive),Telescopic fork,Single shock,Single disc,Expanding brake (drum brake),,,,,,1230 mm (48.4 inches),4.54 litres (1.20 US gallons),,,,,9.8:1,,Carburettor,Single Overhead Cams (SOHC),80 mm (3.2 inches),65 mm (2.6 inches),,,110 mm (4.3 inches),,,,Deep Red; Arctic Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung XRX 400,2005,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,,,,Liquid,5-speed,,,,Single disc,Single disc,139.0 kg (306.4 pounds),,1200 mm (47.2 inches),2330 mm (91.7 inches),870 mm (34.3 inches),1505 mm (59.3 inches),15.00 litres (3.96 US gallons),Electric,,,,,4,,Double Overhead Cams/Twin Cam (DOHC),,,3.00-21 54S ,4.60-18 65S ,,,,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ SM 125,2005,Super motard," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,11.7 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 8500 RPM,,,,,Chain   (final drive),Telescopic fork,Rear monoshock,Single disc,Single disc,129.5 kg (285.5 pounds),0.0849 HP/kg,,,,1440 mm (56.7 inches),12.50 litres (3.30 US gallons),,,,,,,,,,,110/70-17 ,130/70-17 ,,,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,110.0 km/h (68.4 mph),,,,,,3.60 litres (0.95 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 SE,2005,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",,,100.0 x 82.0 mm (3.9 x 3.2 inches),,Oil & air,5-speed,Chain   (final drive),"Telescopic, leading axle, oil damped.","Link-type, fully adjustable spring preload, gas/oil damped, adjustable compression damping.",Single disc,Single disc,147.0 kg (324.1 pounds),,1195 mm (47.0 inches),2255 mm (88.8 inches),865 mm (34.1 inches),1490 mm (58.7 inches),13.00 litres (3.43 US gallons),,,,,9.5:1,4,,Single Overhead Cams (SOHC),259 mm (10.2 inches),259 mm (10.2 inches),90/90-21 ,120/90-17 ,,,"885 mm (34.8 inches) If adjustable, lowest setting.",265 mm (10.4 inches),"Yellow, Blue/White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung MS1 150,2005,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.6 ccm (9.19 cubic inches),"Single cylinder, four-stroke",,,,,Air,Automatic,,,,Single disc,Single disc,130.0 kg (286.6 pounds),,1140 mm (44.9 inches),1885 mm (74.2 inches),655 mm (25.8 inches),1360 mm (53.5 inches),7.00 litres (1.85 US gallons),Electric & kick,,,,,,,,,,120/70-12 56J ,130/70-12 59J ,,,,115 mm (4.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT 650,2005,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",76.4 HP (55.8  kW)) @ 9000 RPM,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 7500 RPM,81.5 x 62.0 mm (3.2 x 2.4 inches),Electronic,,6-speed,,Telescopic,Swingarm,Double disc,Single disc,208.0 kg (458.6 pounds),0.3675 HP/kg,,,,,17.00 litres (4.49 US gallons),Electric,,,,11.4:1,4,,Double Overhead Cams/Twin Cam (DOHC),120 mm (4.7 inches),120 mm (4.7 inches),120/60-ZR17 ,160/60-ZR17 ,230 mm (9.1 inches),,"780 mm (30.7 inches) If adjustable, lowest setting.",,"Yellow, black, blue",,140.0 km/h (87.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco People 250,2005,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",251.0 ccm (15.32 cubic inches),"Single cylinder, four-stroke",19.4 HP (14.2  kW)) @ 6750 RPM,21.8 Nm (2.2 kgf-m or 16.1 ft.lbs) @ 5500 RPM,,,Liquid,,,,,Single disc,Single disc,162.0 kg (357.1 pounds),0.1200 HP/kg,1145 mm (45.1 inches),2119 mm (83.4 inches),742 mm (29.2 inches),,,,,,,,,,Overhead Cams (OHC),,,110/70-16 ,140/70-16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster S2R Dark,2005,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",803.0 ccm (49.00 cubic inches),"Twin, four-stroke",76.0 HP (55.5  kW)) @ 9500 RPM,74.0 Nm (7.5 kgf-m or 54.6 ft.lbs) @ 6500 RPM,88.0 x 66.0 mm (3.5 x 2.6 inches),,,6-speed,Chain   (final drive),43 mm upside-down fork,Progressive linkage with Sachs adjustable monoshock. Single-sided aluminium swingarm,Double disc,Single disc,173.0 kg (381.4 pounds),0.4395 HP/kg,,,,1440 mm (56.7 inches),14.00 litres (3.70 US gallons),Electric,,APTC wet multiplate with hydraulic control,Tubular steel trellis,10.5:1,,"Injection.  Marelli electronic fuel injection, 45 mm throttle body",,130 mm (5.1 inches),148 mm (5.8 inches),120/70-ZR17 ,180/55-ZR17 ,245 mm (9.6 inches),,"800 mm (31.5 inches) If adjustable, lowest setting.",,Matte black/black,,,,,24.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
