Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Emission details,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Fuel capacity,Color options,Starter,Valves per cylinder,Fuel control,Ignition,Gearbox,Clutch,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat,"Weight incl. oil, gas, etc",Light,Carrying capacity,Factory warranty,Comments,Engine details,Exhaust system,Wheels,Alternate seat height,Driveline,Overall height,Overall width,Ground clearance,Electrical,Lubrication system,Instruments,Reserve fuel capacity,Oil capacity,Max RPM,Engine oil,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Service interval,"60-140 km/h (37-87 mph), highest gear",Oil filter,Belt teeth,1/4 mile (0.4 km)
Yamaha Vixion R,2021,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,155.1 ccm (9.46 cubic inches),"Single cylinder, four-stroke",19.0 HP (13.9  kW)) @ 10000 RPM,14.7 Nm (1.5 kgf-m or 10.8 ft.lbs) @ 8500 RPM,,10.6:1,58.0 x 58.7 mm (2.3 x 2.3 inches),Injection,Liquid,Chain   (final drive),,,,90/80-17 ,130/70-17 ,Single disc,,Single disc,,,"795 mm (31.3 inches) If adjustable, lowest setting.",1950 mm (76.8 inches),1320 mm (52.0 inches),11.00 litres (2.91 US gallons),"Matte Red,  Matte Grey",Electric,,Single Overhead Cams (SOHC), T.C.I,6-speed," Wet Multiple-disc, asist and slipper clutch",Deltabox,26.0°,,Telescopic Hydraulic,,Swingarm.  ,,,131.0 kg (288.8 pounds),,,,,,,,,,1025 mm (40.4 inches),720 mm (28.3 inches),165 mm (6.5 inches),,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
Lexmoto Cypher,2021,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Electric,2.5 HP (1.8  kW)),14.6 Nm (1.5 kgf-m or 10.8 ft.lbs) @ 6500 RPM,45.0 km/h (28.0 mph),,,,Air,Belt   (final drive),,,,110/70-12 ,120/70-12 ,Single disc. Hydraulic,,Single disc. Hydraulic,84.0 kg (185.2 pounds),0.0295 HP/kg,"830 mm (32.7 inches) If adjustable, lowest setting.",1760 mm (69.3 inches),1265 mm (49.8 inches),,"Red/black, blue/black",Electric,,,,Automatic,,,,,Upside down forks,,Single shock absorbers,,,,,,,Removable lithium-ion battery. Range 40 miles.,,,,,Twist and go,1000 mm (39.4 inches),810 mm (31.9 inches),,,,Digital  ,,,,,,,,,,,,,,,,,,,,,,
Macbor Shifter MC1,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",,,,9.5:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Injection. Delphi,Air,Chain   (final drive),1.90 litres/100 km (52.6 km/l or 123.80 mpg),44.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,,Single disc. Combines braking system,,Single disc,150.0 kg (330.7 pounds),,"760 mm (29.9 inches) If adjustable, lowest setting.",2050 mm (80.7 inches),1330 mm (52.4 inches),15.00 litres (3.96 US gallons),"White, Black, Red",Electric,2,,ECU,5-speed,,,,,Telescopic fork,,Dual shocks,,,,LED,,,Spanish brand.,,,,,,1110 mm (43.7 inches),775 mm (30.5 inches),170 mm (6.7 inches),,,Digital,,,,,,,,,,,,,,,,,,,,,,
AJS 71 Desert Scrambler 125,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",9.8 HP (7.2  kW)) @ 9000 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 6500 RPM,96.6 km/h (60.0 mph),10.0:1,54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor,Air,Chain   (final drive),,,Euro 5,110/70-17 ,130/70-17 ,Single disc,210 mm (8.3 inches),Single disc,,,"760 mm (29.9 inches) If adjustable, lowest setting.",2060 mm (81.1 inches),1340 mm (52.8 inches),13.50 litres (3.57 US gallons),"Forged Black, Blazing Orange, Sundown Metallic Red",Electric & kick,,Overhead Cams (OHC),Coil CDI,5-speed,"Wet, multiplate",Steel,,,USD fork,,,,,126.0 kg (277.8 pounds),,,2 Years,Sold in the UK.,,,,,,1100 mm (43.3 inches),830 mm (32.7 inches),200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Senke SK 250- X6,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",,,140.0 km/h (87.0 mph),,,Carburettor,Air,Chain   (final drive),,,,,,Single disc,,Single disc,,,,2000 mm (78.7 inches),1380 mm (54.3 inches),,Red,Electric,,,,5-speed,,,,,Telescopic fork,,Monoshock,,,,,,,Chinese brand.,,,"3-spoke, black",,,1080 mm (42.5 inches),830 mm (32.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1250 GS Adventure,2021,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1254.0 ccm (76.52 cubic inches),"Two cylinder boxer, four-stroke",134.1 HP (97.9  kW)) @ 7750 RPM,143.0 Nm (14.6 kgf-m or 105.5 ft.lbs) @ 6250 RPM,200.0 km/h (124.3 mph),12.5:1,102.5 x 76.0 mm (4.0 x 3.0 inches),Injection. Electronic intake pipe injection,Liquid,Shaft drive (cardan)   (final drive),4.75 litres/100 km (21.1 km/l or 49.52 mpg),110.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-loop 3-way catalytic converter, emission standard EU-5",120/70-R19 ,170/60-R17 ,Double disc. ABS. Floating discs. Four-piston calipers. ,276 mm (10.9 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,,"890 mm (35.0 inches) If adjustable, lowest setting.",2270 mm (89.4 inches),1504 mm (59.2 inches),30.00 litres (7.93 US gallons),"White/Red/Blue, White/Red/Black, Black/Grey, Grey/Yellow ",Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Wet clutch with an anti-hopping function, hydraulic activation","Two-section frame, front- and bolted on rear frame, load-bearing engine",25.5°,100 mm (3.9 inches),"BMW Motorrad Telelever; stanchion diameter 37 mm, central spring strut",210 mm (8.3 inches),"Cast aluminium single-sided swing arm with BMW Motorrad Paralever; WAD strut (travel-related damping), spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable at handwheel",220 mm (8.7 inches),,268.0 kg (590.8 pounds),LED headlight,,,Dynamic Traction Control,"Balancer shaft, variable engine timing system",,,"910 mm (35.8 inches) If adjustable, highest setting.",Constant mesh,1460 mm (57.5 inches),980 mm (38.6 inches),,"12 V / 11.8 Ah, maintenance-free battery.",Dry sump,TFT colour display,4.00 litres (1.06 US gallons),4.00 litres (4.23 US quarts),,SAE 5W-40,DOT 4,2.00 litres (0.53 US gallons),,,1050  +/- 100  RPM,,,,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),37 mm (1.5 inches),,,,,K & N  KN-160,,
Yamaha NMAX 160,2021,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,155.0 ccm (9.46 cubic inches),"Single cylinder, four-stroke",15.4 HP (11.2  kW)) @ 8000 RPM,14.0 Nm (1.4 kgf-m or 10.3 ft.lbs) @ 6500 RPM,,11.6:1,58.0 x 58.7 mm (2.3 x 2.3 inches),Injection,Liquid,Belt   (final drive),,,,110/70-13 ,130/70-13 ,Single disc. Hydraulic. ABS.,230 mm (9.1 inches),Single disc. ABS.,,,"765 mm (30.1 inches) If adjustable, lowest setting.",1955 mm (77.0 inches),1350 mm (53.1 inches),6.60 litres (1.74 US gallons),"Navy Blue, S-White, Matt Black",Electric,4,Single Overhead Cams (SOHC),Transistorised,Automatic,Dry centrifugal,Backbone,26.0°,92 mm (3.6 inches),Telescopic fork,110 mm (4.3 inches),"Unit Swing, monoshock",84 mm (3.3 inches),,127.0 kg (280.0 pounds),,Underseat storage,,,,,,,V-Belt Automatic,1115 mm (43.9 inches),740 mm (29.1 inches),135 mm (5.3 inches),,Wet sump,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,
CSC Motorcycles TT250,2021,Enduro / offroad," 2.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",229.5 ccm (14.00 cubic inches),"Single cylinder, four-stroke",16.1 HP (11.8  kW)),,,,,Carburettor,Air,Chain   (final drive),,,,90/70-17 ,120/70-17 ,Single disc,,Single disc,,,,,,15.00 litres (3.96 US gallons),Black,Electric & kick,,Overhead Valves (OHV),,5-speed,,,,,Inverted forks ,,Adjustable dual shock absorbers with reservoirs,,,,,,12-month unlimited mileage,Brand previously called California Scooters. Bike imported from China.  ,Counter-balancer,Black megaphone steel ,Spoked wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bintelli Flash 150,2021,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",8.5 HP (6.2  kW)) @ 7500 RPM,8.8 Nm (0.9 kgf-m or 6.5 ft.lbs) @ 6000 RPM,,9.5:1,,Carburettor,Air,Belt   (final drive),,,,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),,,"737 mm (29.0 inches) If adjustable, lowest setting.",1831 mm (72.1 inches),,5.30 litres (1.40 US gallons),"White, Grey, Blue",Electric & kick,,,CDI,Automatic,,Steel,,,Straight,,Single,,,115.7 kg (255.0 pounds),Halogen Headlight,,2 Year Limited,Sold in the US.,,,,,CVT,1067 mm (42.0 inches),699 mm (27.5 inches),,Motobatt 12V/7AH battery.,,Analogue,,,,,,,,,,,,,,,,,,,,,,
Senke SK150 Hunter,2021,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,162.0 ccm (9.89 cubic inches),"Single cylinder, four-stroke",12.6 HP (9.2  kW)) @ 8000 RPM,12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 5500 RPM,90.0 km/h (55.9 mph),,62.0 x 53.8 mm (2.4 x 2.1 inches),Carburettor,Air,Chain   (final drive),2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,90/90-18 ,110/90-16 ,Single disc,,Expanding brake (drum brake),135.0 kg (297.6 pounds),0.0934 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",2000 mm (78.7 inches),1295 mm (51.0 inches),,,,,Single Overhead Cams (SOHC),C.D.I,,Wet Multiplate,,,,,,,,,,,,,Chinese made bike. Also called SK 150-8,,,,,,1130 mm (44.5 inches),800 mm (31.5 inches),160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna FE 250,2021,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.9 ccm (15.25 cubic inches),"Single cylinder, four-stroke",46.0 HP (33.6  kW)),,,,78.0 x 52.3 mm (3.1 x 2.1 inches),Carburettor,Liquid,Chain   (final drive),3.47 litres/100 km (28.8 km/l or 67.79 mpg),80.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,90/90-21 ,140/90-18 ,Single disc. Magura. Wave disk.,220 mm (8.7 inches),Single disc. Magura. Wave disk.,106.0 kg (233.7 pounds),0.4340 HP/kg,"950 mm (37.4 inches) If adjustable, lowest setting.",2260 mm (89.0 inches),1482 mm (58.3 inches),8.50 litres (2.25 US gallons),White/yellow/blue,Electric,,Double Overhead Cams/Twin Cam (DOHC),Keihin EMS,5-speed,"Wet, multi-disc clutch, Magura hydraulics",Central double-cradle-type 25CrMo4 steel,26.5°,,"WP XPLOR-USD, Ø 48 mm",300 mm (11.8 inches),WP XACT Monoshock with linkage,300 mm (11.8 inches),,,,,,,,,,,X-Ring 5/8 x 1/4´ chain,,,360 mm (14.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sport Glide,2021,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1746.0 ccm (106.54 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 5020 RPM,146.5 Nm (14.9 kgf-m or 108.0 ft.lbs) @ 2750 RPM,,10.0:1,100.0 x 111.1 mm (3.9 x 4.4 inches),Injection. Electronic Sequential Port Fuel Injection,Air,Belt   (final drive),5.00 litres/100 km (20.0 km/l or 47.04 mpg),116.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,130/70-B18 ,180/70-B16 ,Double disc. 4-piston. ABS.,,Single disc. 2-piston. ABS.,304.0 kg (670.2 pounds),0.2829 HP/kg,"653 mm (25.7 inches) If adjustable, lowest setting.",2324 mm (91.5 inches),1625 mm (64.0 inches),18.93 litres (5.00 US gallons),"Vivid Black DeLuxe, Vivid Black, Gauntlet  Gray Metallic, Stone Washed White Pearl",Electric,,Double Overhead Cams/Twin Cam (DOHC),,6-speed,Multi-plate with diaphragm spring in oil bath,,30.0°,150 mm (5.9 inches),Telescopic fork,,Twin shocks,,,317.0 kg (698.9 pounds),"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",Saddle bags,,,Milwaukee-Eight® 107,2-into-1; catalyst in muffler ,"Black, machine highlighted, Mantis cast aluminium ","673 mm (26.5 inches) If adjustable, highest setting.","Primary chain, 34/46 ratio",,,120 mm (4.7 inches),,,"5-inch analog speedometer with digital gear, odometer, fuel level, clock, trip, range and tachometer indication",,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,
MV Agusta Rush 1000,2021,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",208.0 HP (151.8  kW)) @ 13000 RPM,116.5 Nm (11.9 kgf-m or 85.9 ft.lbs) @ 11000 RPM,300.0 km/h (186.4 mph),13.4:1,79.0 x 50.9 mm (3.1 x 2.0 inches),Injection. Integrated ignition - injection system MVICS (Motor  and  Vehicle Integrated Control System),Oil & air,Chain   (final drive),6.59 litres/100 km (15.2 km/l or 35.69 mpg),152.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,120/70-ZR17 ,200/55-ZR17 ,Double disc. ABS. Brembo,220 mm (8.7 inches),Single disc. ABS.,186.0 kg (410.1 pounds),1.1183 HP/kg,"845 mm (33.3 inches) If adjustable, lowest setting.",2080 mm (81.9 inches),1415 mm (55.7 inches),16.00 litres (4.23 US gallons),Gray/red/gold,Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Wet, multi-disc with back torque limiting",CrMo Steel tubular trellis,,97 mm (3.8 inches),Öhlins Nix EC hydraulic “upside down” front forks with TiN superficial treatment. Completely adjustable with electronically controlled compression and rebound damping with manually controlled spring preload.,120 mm (4.7 inches),"Rogressive, single shock absorber Öhlins EC TTX completely adjustable with electronically controlled compression and rebound damping and spring preload",120 mm (4.7 inches),"Steel trellis, aluminium swingarm",210.0 kg (463.0 pounds),LED headlight,,3 years warranty,"Aluminum, titanium and carbon fiber elements. Eight-stage traction control.",,SC-Project titanium racing exhaust system with dual silencers with dedicated ECU,Aluminium alloy. Rear wheel carbon fiber cover for aerodynamic performance,,"Cassette style; six speed, constant mesh",,805 mm (31.7 inches),141 mm (5.6 inches),Li-ion 12 V - 4.0 Ah battery,,TFT dashboard,,,,,,,,,,,,,,,,,,,,,,
Brixton Crossfire 125 XS,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 9000 RPM,,95.0 km/h (59.0 mph),,,Injection,Air,Chain   (final drive),2.70 litres/100 km (37.0 km/l or 87.12 mpg),62.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Single disc,190 mm (7.5 inches),Single disc,,,,1690 mm (66.5 inches),,,"Clockwork Orange, Cargo Green, Backstage Black


",Electric,,,ECU,,,,,,Teleskopic fork upside-down,,Swingarm with single shock absorber,,,111.0 kg (244.7 pounds),,,,,,,,,,990 mm (39.0 inches),780 mm (30.7 inches),,,,,2.40 litres (0.63 US gallons),,,,,,,,,,,,,,,,,,,,,
Malaguti Madison 300 Anniversary Edition,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",21.5 HP (15.7  kW)) @ 7250 RPM,,110.0 km/h (68.4 mph),,,,Liquid,,3.60 litres/100 km (27.8 km/l or 65.34 mpg),83.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Single disc,,Single disc,188.0 kg (414.5 pounds),0.1141 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",2135 mm (84.1 inches),,,Gray,Electric,,,ECU,,,,,,Telescopic-hydraulic fork,,,,,,,,,,,,,,,1395 mm (54.9 inches),790 mm (31.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Sinnis Apache SM,2021,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,,,Injection. Delphi Electronic Fuel Injection,Air,Chain   (final drive),,,,110/70-17 ,130/70-17 ,Single disc,,Single disc,134.0 kg (295.4 pounds),,"870 mm (34.3 inches) If adjustable, lowest setting.",2180 mm (85.8 inches),1405 mm (55.3 inches),,"Green/Black, Polar White",Electric,,,,,,,,,Telescopic,,Monoshock,,,,,,,,Suzuki derived GS125,,,,,1150 mm (45.3 inches),830 mm (32.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS-GP,2021,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,999.6 ccm (61.00 cubic inches),"V4, four-stroke",255.0 HP (186.1  kW)) @ 13000 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 10500 RPM,350.0 km/h (217.5 mph),13.6:1,78.0 x 52.3 mm (3.1 x 2.1 inches),Injection,Liquid,Chain   (final drive),,,,120/70-ZR17 ,200/55-ZR17 ,Double disc. Brembo M4 Floating stainless steel disc with lightweight stainless steel rotor and aluminium flange with 6 pins,220 mm (8.7 inches),Single disc. Brembo calliper with two Ø 32 mm separate pistons,,,"840 mm (33.1 inches) If adjustable, lowest setting.",2040 mm (80.3 inches),1420 mm (55.9 inches),22.00 litres (5.81 US gallons),Black/red/green/white/yellow,Electric,4,Double Overhead Cams/Twin Cam (DOHC),Magneti Marelli digital,6-speed,Dry multi-plate slipper clutch,Aluminium dual beam. Carbon fiber swingarm.,24.5°,105 mm (4.1 inches),"Öhlins Magnesium, fully-adjustable telescopic fork",120 mm (4.7 inches),"Öhlins Pro-link, fully-adjustable monoshock",130 mm (5.1 inches),,160.0 kg (352.7 pounds),,,,MotoGP model.,Longitudinal 65° V-4 cylinder,Akrapovič,Michelin tyres,,Regina Chain titanium PBR sprocket,,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Macbor Fun,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",,,,9.5:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Injection. Delphi,Air,Chain   (final drive),2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,120/70-12 ,140/70-12 ,Single disc. Combines braking system,190 mm (7.5 inches),Single disc,118.0 kg (260.1 pounds),,"757 mm (29.8 inches) If adjustable, lowest setting.",1790 mm (70.5 inches),1220 mm (48.0 inches),13.00 litres (3.43 US gallons),Gray,Electric,2,,ECU,5-speed,,,,,Telescopic fork,,Dual shocks,,,,LED,,,Spanish brand.,,,,,,990 mm (39.0 inches),755 mm (29.7 inches),,,,Digital,,,,,,,,,,,,,,,,,,,,,,
Honda Africa Twin Adventure Sports DCT,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1084.0 ccm (66.15 cubic inches),"Twin, four-stroke",101.0 HP (73.7  kW)) @ 7500 RPM,105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 6250 RPM,,10.1:1,92.0 x 81.5 mm (3.6 x 3.2 inches),Injection. PGM-FI electronic fuel injection (throttle by wire),Liquid,Chain   (final drive),,,,90/90-21 ,150/70-R18 ,Double disc. Switchable ABS. 4-piston calipers and sintered metal pads,256 mm (10.1 inches),Single disc. Switchable ABS. 2-piston caliper and sintered metal pads.,,,"850 mm (33.5 inches) If adjustable, lowest setting.",2330 mm (91.7 inches),1575 mm (62.0 inches),24.80 litres (6.55 US gallons),"Black, Blue",Electric,4,Single Overhead Cams (SOHC),Full transistorized ignition,6-speed,"Wet, multi-plate with coil springs, aluminum cam assist and slipper clutch",Steel semi-double cradle type with high-tensile strength steel rear sub-frame,27.5°,113 mm (4.4 inches),Showa 45mm nverted telescopic fork,230 mm (9.1 inches),Pro-Link® system w/ single shock,220 mm (8.7 inches),,250.0 kg (551.2 pounds),,,1 year,,,,	Bridgestone Battlax Adventurecross ,"870 mm (34.3 inches) If adjustable, highest setting.",#525 Chain; 16T/42T,1560 mm (61.4 inches),960 mm (37.8 inches),250 mm (9.8 inches),,,,4.80 litres (1.27 US gallons),4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,
Tao Motor TRB7,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,229.0 ccm (13.97 cubic inches),"Single cylinder, four-stroke",,,,,,Carburettor,Air,Chain   (final drive),,,,90/90-19 ,110/90-17 ,Single disc. Hydraulic. ,,Expanding brake (drum brake),129.7 kg (286.0 pounds),,"864 mm (34.0 inches) If adjustable, lowest setting.",2032 mm (80.0 inches),1397 mm (55.0 inches),,"White, blue, green",Electric & kick,,,CDI,,,,,,Telescopic fork,,Monoshock,,,,LED lights,,,Chinese brand. Sold in the US and Canada.,,,,,,1194 mm (47.0 inches),838 mm (33.0 inches),284 mm (11.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Nipponia Tremor 125,2021,"Minibike, sport",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",9.8 HP (7.2  kW)) @ 8000 RPM,,90.0 km/h (55.9 mph),,,Injection,Air,Chain   (final drive),,,Euro 3,120/70-12 ,130/70-12 ,Single disc,,Single disc,112.0 kg (246.9 pounds),0.0875 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",1770 mm (69.7 inches),,6.00 litres (1.59 US gallons),"Red, yellow",Electric & kick,,Single Overhead Cams (SOHC),,5-speed,,Steel,,,Telescopic fork,,Dual shocks,,,,,,,"Nipponia is sold in Greece, Japan, Brazil, Dominican Republic, Venezuela and China.",,,,,,1025 mm (40.4 inches),755 mm (29.7 inches),,12V-90W generator,,,,,,,,,,,,,,,,,,,,,,,,
KTM 300 XC-W TPI Erzbergrodeo,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,293.2 ccm (17.89 cubic inches),"Single cylinder, two-stroke",,,,,72.0 x 72.0 mm (2.8 x 2.8 inches),Injection,Liquid,Chain   (final drive),,,,,,Single disc,220 mm (8.7 inches),Single disc,103.9 kg (229.1 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",,1482 mm (58.3 inches),8.50 litres (2.25 US gallons),Orange/white/gold,Electric,,Single Overhead Cams (SOHC),Continental EMS,6-speed,"Wet, DDS multi-disc clutch, Brembo hydraulics",Central double-cradle-type 25CrMo4 steel,26.1°,,"WP XPLOR-USD, Ø 48 mm",300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),,,,,,,,,,,,,,370 mm (14.6 inches),,,LCD display,,,,,,,,,,,,,,,,,,,,,,
