Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
Suzuki GX 125,2003,Naked bike," 2.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",15.4 HP (11.2  kW)),,,5-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),,,,,,9.46 litres (2.50 US gallons),,,Carburettor,,,,,,,,2.50 litres (0.66 US gallons),,,,,,"Great 4 stroke single, much better than most, a must have learner bike.",,,,,,Electric,120.7 km/h (75.0 mph),,,,,,,,,,,,,,,,,,,,,,,,2.61 litres/100 km (38.3 km/l or 90.12 mpg),60.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,single cromed pipe,,,,,,
BMW R 1150 GS Adventure,2003,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",85.0 HP (62.0  kW)) @ 6750 RPM,97.6 Nm (10.0 kgf-m or 72.0 ft.lbs) @ 5250 RPM,,,,,,,,253.0 kg (557.8 pounds),0.3360 HP/kg,"900 mm (35.4 inches) If adjustable, lowest setting.",,,22.00 litres (5.81 US gallons),,,,,,,,,,1509 mm (59.4 inches),4.00 litres (1.06 US gallons),,"Aluminium/Gray, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki SV 650,2003,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",72.0 HP (52.6  kW)) @ 9000 RPM,84.0 Nm (8.6 kgf-m or 62.0 ft.lbs) @ 7200 RPM,81.0 x 62.6 mm (3.2 x 2.5 inches),6-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Double disc,Single disc,162.0 kg (357.1 pounds),0.4444 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",2120 mm (83.5 inches),790 mm (31.1 inches),16.00 litres (4.23 US gallons),11.5:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,,,1435 mm (56.5 inches),,133 mm (5.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ RT 125,2003,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 9000 RPM,11.2 Nm (1.1 kgf-m or 8.3 ft.lbs) @ 8500 RPM,,,,,,,,133.0 kg (293.2 pounds),0.1109 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,13.50 litres (3.57 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1355 mm (53.3 inches),3.60 litres (0.95 US gallons),,"Black, Yellow, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 SX,2003,Cross / motocross," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,,66.4 x 72.0 mm (2.6 x 2.8 inches),5-speed,Chain   (final drive),80/100-21 ,110/90-19 ,Single disc,Single disc,97.2 kg (214.3 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,7.50 litres (1.98 US gallons),,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),220 mm (8.7 inches),,1475 mm (58.1 inches),,385 mm (15.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs Roadster 800,2003,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",805.0 ccm (49.12 cubic inches),"Single cylinder, four-stroke",58.0 HP (42.3  kW)) @ 6000 RPM,70.5 Nm (7.2 kgf-m or 52.0 ft.lbs) @ 4000 RPM,,,,,,,,209.0 kg (460.8 pounds),0.2775 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,20.00 litres (5.28 US gallons),,,,,,,,,,1475 mm (58.1 inches),3.00 litres (0.79 US gallons),,"Black, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLSTC Heritage Softail Classic,2003,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3500 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,335.0 kg (738.5 pounds),,"697 mm (27.4 inches) If adjustable, lowest setting.",2391 mm (94.1 inches),,19.70 litres (5.20 US gallons),8.8:1,,Carburettor,,Air,,,,,1630 mm (64.2 inches),,129 mm (5.1 inches),"2-tone sterling silver & vivid black, vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 660 Supermoto Factory Replica,2003,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Single cylinder, four-stroke",72.0 HP (52.6  kW)),,102.0 x 80.0 mm (4.0 x 3.1 inches),5-speed,Chain   (final drive),120/60-17 ,165/55-17 ,Single disc,Single disc,114.0 kg (251.3 pounds),0.6316 HP/kg,"915 mm (36.0 inches) If adjustable, lowest setting.",,,5.50 litres (1.45 US gallons),12.5:1,4,Carburettor,,Liquid,280 mm (11.0 inches),290 mm (11.4 inches),220 mm (8.7 inches),,1510 mm (59.4 inches),,290 mm (11.4 inches),,,WP-USD 48 Multi Adjuster,WP - Monoshock Super Moto Spezial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500 T Bullet Trials,2003,Classic,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)),35.3 Nm (3.6 kgf-m or 26.0 ft.lbs),,,,,,,,168.0 kg (370.4 pounds),0.1310 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,14.50 litres (3.83 US gallons),,,,,,,,,,1370 mm (53.9 inches),1.25 litres (0.33 US gallons),,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR 650 SE,2003,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",43.0 HP (31.4  kW)) @ 6400 RPM,53.9 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 4600 RPM,100.0 x 82.0 mm (3.9 x 3.2 inches),5-speed,Chain   (final drive),90/90-21 M/C ,120/90-17 M/C ,Single disc,Single disc,147.0 kg (324.1 pounds),0.2925 HP/kg,"885 mm (34.8 inches) If adjustable, lowest setting.",2255 mm (88.8 inches),865 mm (34.1 inches),13.00 litres (3.43 US gallons),9.5:1,,Carburettor,Single Overhead Cams (SOHC),Air,,,,,1380 mm (54.3 inches),,266 mm (10.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 620 DARK i.e.,2003,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",60.0 HP (43.8  kW)) @ 9500 RPM,53.3 Nm (5.4 kgf-m or 39.3 ft.lbs) @ 6750 RPM,80.0 x 61.5 mm (3.1 x 2.4 inches),5-speed,Chain   (final drive),120/60-ZR17 ,160/60-ZR17 ,Double disc,Single disc,177.0 kg (390.2 pounds),0.3390 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),,15.00 litres (3.96 US gallons),10.5:1,2,Injection,Desmodromic valve control,Air,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),795 mm (31.3 inches),1440 mm (56.7 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RST 1000 Futura,2003,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",113.0 HP (82.5  kW)) @ 9250 RPM,96.3 Nm (9.8 kgf-m or 71.0 ft.lbs) @ 7250 RPM,,,,,,,,210.0 kg (463.0 pounds),0.5381 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,21.00 litres (5.55 US gallons),,,,,,,,,,1435 mm (56.5 inches),5.00 litres (1.32 US gallons),,"Silver, Blue, Red, Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZX-9R Ninja,2003,Sport," 4.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",899.0 ccm (54.86 cubic inches),"In-line four, four-stroke",150.0 HP (109.5  kW)) @ 11000 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 9200 RPM,,,,,,,,186.0 kg (410.1 pounds),0.8065 HP/kg,"827 mm (32.6 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,,,,,,,1417 mm (55.8 inches),,,"Blue, Silver, Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VFR 800 VTEC,2003,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",782.0 ccm (47.72 cubic inches),"V4, four-stroke",109.0 HP (79.6  kW)) @ 10500 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 8750 RPM,72.0 x 48.0 mm (2.8 x 1.9 inches),6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,213.0 kg (469.6 pounds),0.5117 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",2120 mm (83.5 inches),735 mm (28.9 inches),22.00 litres (5.81 US gallons),,,,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Supersport 800,2003,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",802.0 ccm (48.94 cubic inches),"V2, four-stroke",74.5 HP (54.4  kW)) @ 8250 RPM,70.0 Nm (7.1 kgf-m or 51.6 ft.lbs) @ 6250 RPM,88.0 x 66.0 mm (3.5 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,170/60-ZR17 ,Double disc,Single disc,183.0 kg (403.4 pounds),0.4071 HP/kg,"815 mm (32.1 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,16.00 litres (4.23 US gallons),10.3:1,2,Injection,Desmodromic valve control,Air,120 mm (4.7 inches),136 mm (5.4 inches),245 mm (9.6 inches),1110 mm (43.7 inches),1405 mm (55.3 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTS Springer Softail,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 3200 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,305.0 kg (672.4 pounds),,"696 mm (27.4 inches) If adjustable, lowest setting.",2374 mm (93.5 inches),,20.00 litres (5.28 US gallons),8.8:1,,Carburettor,,Air,,,,,1690 mm (66.5 inches),,140 mm (5.5 inches),"Vivid black, gunmetal pearl, luxury rich red pearl, white pearl, luxury blue pearl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger,2003,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",105.0 HP (76.6  kW)) @ 9500 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 4400 RPM,79.0 x 65.0 mm (3.1 x 2.6 inches),6-speed,Chain   (final drive),110/80-H 19 ,150/70-H 17 ,Double disc,Single disc,215.0 kg (474.0 pounds),0.4884 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",2250 mm (88.6 inches),860 mm (33.9 inches),24.00 litres (6.34 US gallons),11.7:1,,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,,,285 mm (11.2 inches),1370 mm (53.9 inches),1515 mm (59.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Ducati 749 S,2003,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",748.0 ccm (45.64 cubic inches),"V2, four-stroke",103.0 HP (75.2  kW)) @ 10000 RPM,77.0 Nm (7.9 kgf-m or 56.8 ft.lbs) @ 8500 RPM,90.0 x 58.8 mm (3.5 x 2.3 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,199.0 kg (438.7 pounds),0.5176 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",2095 mm (82.5 inches),,15.50 litres (4.10 US gallons),11.7:1,4,Injection,Desmodromic valve control,Liquid,125 mm (4.9 inches),128 mm (5.0 inches),240 mm (9.4 inches),1090 mm (42.9 inches),1420 mm (55.9 inches),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania RX 50 Racing,2003,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,6-speed,Chain   (final drive),,,Single disc,Single disc,85.0 kg (187.4 pounds),,,,,6.00 litres (1.59 US gallons),,,,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 125 EXC,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),6-speed,Chain   (final drive),90/90-21 ,120/90-18 ,,,101.4 kg (223.5 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),,,1461 mm (57.5 inches),,390 mm (15.4 inches),,,WP-USD 48 MA,WP-PDS-shock absorber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF 600 R Thundercat,2003,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.1 HP (73.1  kW)) @ 11500 RPM,65.8 Nm (6.7 kgf-m or 48.5 ft.lbs) @ 9500 RPM,,,,,,,,187.0 kg (412.3 pounds),0.5353 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",,,19.00 litres (5.02 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1415 mm (55.7 inches),,,"Silver, Red, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki DR-Z 250,2003,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,73.0 x 59.6 mm (2.9 x 2.3 inches),6-speed,Chain   (final drive),80/100-21 ,120/90-18 ,Single disc,Single disc,115.0 kg (253.5 pounds),,"900 mm (35.4 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),880 mm (34.6 inches),10.50 litres (2.77 US gallons),10.4:1,4,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Air,,,,,1455 mm (57.3 inches),,300 mm (11.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CR 125 R,2003,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),5-speed,Chain   (final drive),80/100-21 ,100/90-19 ,Single disc,Single disc,87.5 kg (192.9 pounds),,"949 mm (37.4 inches) If adjustable, lowest setting.",2162 mm (85.1 inches),823 mm (32.4 inches),7.70 litres (2.03 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 EXC Racing,2003,Enduro / offroad," 4.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",447.9 ccm (27.33 cubic inches),"Single cylinder, four-stroke",,,89.0 x 72.0 mm (3.5 x 2.8 inches),6-speed,Chain   (final drive),90/90-21 ,140/80-18 ,Single disc,Single disc,118.2 kg (260.6 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,8.50 litres (2.25 US gallons),11.0:1,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),220 mm (8.7 inches),,1481 mm (58.3 inches),,385 mm (15.2 inches),,,WP-USD 48 MA,WP-PDS-shock absorber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Mito 125,2003,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,129.0 kg (284.4 pounds),,"760 mm (29.9 inches) If adjustable, lowest setting.",,,14.00 litres (3.70 US gallons),,,,,,,,,,1375 mm (54.1 inches),,,"Black, Red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 GT,2003,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",85.0 HP (62.0  kW)) @ 7000 RPM,97.6 Nm (10.0 kgf-m or 72.0 ft.lbs) @ 5500 RPM,,,,,,,,249.0 kg (549.0 pounds),0.3414 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,,22.00 litres (5.81 US gallons),,,,,,,,,,1509 mm (59.4 inches),,,"Blue, Gray/Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 S Bandit,2003,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 8500 RPM,91.7 Nm (9.4 kgf-m or 67.6 ft.lbs) @ 6500 RPM,79.0 x 59.0 mm (3.1 x 2.3 inches),5-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,220.0 kg (485.0 pounds),0.4455 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),765 mm (30.1 inches),20.00 litres (5.28 US gallons),9.5:1,4,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,,,,1430 mm (56.3 inches),4.50 litres (1.19 US gallons),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 50,2003,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,89.0 kg (196.2 pounds),,"810 mm (31.9 inches) If adjustable, lowest setting.",,,13.00 litres (3.43 US gallons),,,,,,,,,,1280 mm (50.4 inches),2.50 litres (0.66 US gallons),,Black/Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 350 Bullet Deluxe,2003,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)),27.1 Nm (2.8 kgf-m or 20.0 ft.lbs),,,,,,,,163.0 kg (359.4 pounds),0.1104 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",,,14.50 litres (3.83 US gallons),,,,,,,,,,1370 mm (53.9 inches),,,Blue/Chrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 600 RR,2003,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",117.0 HP (85.4  kW)) @ 13000 RPM,,67.0 x 42.5 mm (2.6 x 1.7 inches),6-speed,Chain   (final drive),120/70-17 ,180/55-17 ,Double disc,Single disc,169.0 kg (372.6 pounds),0.6923 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",2065 mm (81.3 inches),685 mm (27.0 inches),18.00 litres (4.76 US gallons),,,,,Liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta RR 50,2003,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,,,,,,,,90.0 kg (198.4 pounds),,"910 mm (35.8 inches) If adjustable, lowest setting.",,,6.70 litres (1.77 US gallons),,,,,,,,,,,1.00 litres (0.26 US gallons),,"Red, Black, Green, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE 610 ES,2003,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.3 ccm (35.17 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,149.8 kg (330.3 pounds),,"860 mm (33.9 inches) If adjustable, lowest setting.",,,9.10 litres (2.40 US gallons),,,,,,,,,,1505 mm (59.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 50 SX Pro Junior LC,2003,"Minibike, cross"," 3.4  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.5 x 40.0 mm (1.6 x 1.6 inches),,Chain   (final drive),2.75-10 ,2.50-10 ,Single disc,Expanding brake (drum brake),37.6 kg (82.9 pounds),,"585 mm (23.0 inches) If adjustable, lowest setting.",,,2.00 litres (0.53 US gallons),,,Carburettor,,Liquid,140 mm (5.5 inches),205 mm (8.1 inches),90 mm (3.5 inches),,910 mm (35.8 inches),,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,"610 mm (24.0 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Honda VT 125 Shadow,2003,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"V2, four-stroke",15.0 HP (10.9  kW)) @ 11000 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 9000 RPM,42.0 x 45.0 mm (1.7 x 1.8 inches),5-speed,Chain   (final drive),100/90-17 ,130/90-15 ,Single disc,Expanding brake (drum brake),145.0 kg (319.7 pounds),0.1034 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",2300 mm (90.6 inches),888 mm (35.0 inches),14.00 litres (3.70 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 100 R,2003,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",99.2 ccm (6.05 cubic inches),"Single cylinder, four-stroke",,,53.0 x 45.0 mm (2.1 x 1.8 inches),5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),75.0 kg (165.3 pounds),,"775 mm (30.5 inches) If adjustable, lowest setting.",1899 mm (74.8 inches),816 mm (32.1 inches),5.60 litres (1.48 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 50 Senior Adventure,2003,"Minibike, cross"," 3.7  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.5 x 40.0 mm (1.6 x 1.6 inches),,Chain   (final drive),2.50-10 ,2.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),38.4 kg (84.7 pounds),,"650 mm (25.6 inches) If adjustable, lowest setting.",,,2.00 litres (0.53 US gallons),,,Carburettor,,Air,185 mm (7.3 inches),185 mm (7.3 inches),90 mm (3.5 inches),,1030 mm (40.6 inches),,255 mm (10.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Gilera Gp50 Poggiali,2003,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,40.0 x 39.0 mm (1.6 x 1.5 inches),6-speed,Chain   (final drive),90/80-17 ,120/80-17 ,Single disc,Single disc,89.0 kg (196.2 pounds),,,1920 mm (75.6 inches),705 mm (27.8 inches),7.25 litres (1.92 US gallons),11.5:1,,Carburettor. Carburettor heater,,Liquid,95 mm (3.7 inches),31 mm (1.2 inches),220 mm (8.7 inches),,1335 mm (52.6 inches),,,Only in Poggiali replica colours,,"Inverted hydraulic fork, 35 mm",Progressive single absorber,I personally own one and is very reliable,,,Multi disc,Identical to Cagiva prima + 1997-2002 Derbi gpr,,Electric,88.5 km/h (55.0 mph),,,,,,,,,,,,,,,,,,14000,,,,,,,,Standard (new),,,,"Carb heater, electronic rev counter, mph speedo",,
