Model,Year,Category,Rating,Displacement,Engine type,Torque,Fuel system,Cooling system,Gearbox,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Power,Top speed,Compression,Valves per cylinder,Fuel control,Transmission type,Frame type,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Starter,Comments,Bore x stroke,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),"Weight incl. oil, gas, etc",Color options,Ignition,Trail,Front suspension,Rear suspension,Lubrication system,Diameter,Reserve fuel capacity,Modifications compared to previous model,Front wheel travel,Rear wheel travel,Engine details,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Sprockets,Belt teeth,Fork tube size,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight,Coolant,Idle speed,Chain size,Chain links,Tire pressure front,Tire pressure rear,1/4 mile (0.4 km),Max RPM,Alternate seat height,Electrical,Belt width,Pulley teeth,Driveline,Wheels
Chang-Jiang BD 125-3,2007,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,157.0 ccm (9.58 cubic inches),"Twin, four-stroke",,,Oil & air,5-speed,,,"Single disc. Hand operation, disc","Expanding brake (drum brake). Kick operation, drum",145.0 kg (319.7 pounds),1480 mm (58.3 inches),2240 mm (88.2 inches),880 mm (34.6 inches),,85.0 km/h (52.8 mph),,,,,,,,,1480 mm (58.3 inches),14.00 litres (3.70 US gallons),Electric & kick,,,,2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL150T-2,2007,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.0 ccm (8.97 cubic inches),"Single cylinder, four-stroke",,,Air,,3.5-10 ,3.5-10 ,Single disc,Expanding brake (drum brake),180.0 kg (396.8 pounds),1355 mm (53.3 inches),2265 mm (89.2 inches),745 mm (29.3 inches),,90.0 km/h (55.9 mph),,,,,,,,135 mm (5.3 inches),1625 mm (64.0 inches),,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TDM 900,2007,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",897.0 ccm (54.73 cubic inches),"Twin, four-stroke",88.8 Nm (9.1 kgf-m or 65.5 ft.lbs) @ 9100 RPM,Injection.  Electronic Fuel Injection,Liquid,,120/70-ZR18 ,160/60-ZR17 ,Double disc,Single disc,192.0 kg (423.3 pounds),1290 mm (50.8 inches),2180 mm (85.8 inches),800 mm (31.5 inches),85.0 HP (62.1  kW)),,10.4:1,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),"Aluminium, diamond shaped",0.4428 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",160 mm (6.3 inches),1485 mm (58.5 inches),20.00 litres (5.28 US gallons),Electric,,92.0 x 67.5 mm (3.6 x 2.7 inches),"Wet, multiple-disc coil spring",,,,,,,TCI,,Telescopic forks,Swingarm (link suspension),Dry sump,245 mm (9.6 inches),,,150 mm (5.9 inches),133 mm (5.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Versys,2007,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 6800 RPM,Injection. Fuel injection: ø38 mm x 2 (Keihin),Liquid,6-speed,120/70-17 ,160/60-17 ,Double disc. Dual semi-floating 300 mm petal discs,Single disc. Single 220 mm petal disc,181.0 kg (399.0 pounds),1315 mm (51.8 inches),2125 mm (83.7 inches),840 mm (33.1 inches),63.0 HP (46.0  kW)) @ 8000 RPM,,10.6:1,4,Double Overhead Cams/Twin Cam (DOHC),,"Diamond, high-tensile steel",0.3482 HP/kg,"840 mm (33.1 inches) If adjustable, lowest setting.",,1415 mm (55.7 inches),19.00 litres (5.02 US gallons),Electric,,83.0 x 60.0 mm (3.3 x 2.4 inches),,,,,25.0°,,"Ebony, Atomic Silver, Candy Burnt Orange",Digital,108 mm (4.3 inches),41 mm inverted telescopic fork with stepless (right-side) adjustable rebound damping and adjustable preload,Offset laydown single-shock with 13-way adjustable rebound damping and 7-way adjustable preload,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Flame X,2007,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",9.3 Nm (0.9 kgf-m or 6.9 ft.lbs) @ 7500 RPM,Carburettor. CVK24,Air,Automatic,110/70-12 ,120/70-12 ,"Single disc. Disc, ø 216","Expanding brake (drum brake). Drum, Ø 150",116.0 kg (255.7 pounds),1110 mm (43.7 inches),1855 mm (73.0 inches),685 mm (27.0 inches),10.7 HP (7.8  kW)) @ 8500 RPM,,10.0:1,,Single Overhead Cams (SOHC),Belt   (final drive),,0.0924 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",113 mm (4.4 inches),1290 mm (50.8 inches),7.10 litres (1.88 US gallons),Electric & kick,,52.4 x 57.9 mm (2.1 x 2.3 inches),,,,,,,"Jet Black, Innova Silver",Electronic (C.D.I.),,Telescopic,Hydraulic unit swing,Wet sump,,,,78 mm (3.1 inches),95 mm (3.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO PMS 110,2007,Scooter," 2.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",106.0 ccm (6.47 cubic inches),"Single cylinder, two-stroke",9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 6250 RPM,,Air,Automatic,120/70-12 ,130/70-12 ,Single disc. Hydraulic Disk with Twin Piston Caliper,Expanding brake (drum brake),89.0 kg (196.2 pounds),1116 mm (43.9 inches),1807 mm (71.1 inches),637 mm (25.1 inches),9.1 HP (6.6  kW)) @ 7250 RPM,,6.5:1,,,Belt   (final drive),,0.1024 HP/kg,,,1173 mm (46.2 inches),5.10 litres (1.35 US gallons),,,52.0 x 50.0 mm (2.0 x 2.0 inches),"Dry style, centrifugal type",,,,,,"Blue, Black, Silver",CDI,,,,,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi GPX1,2007,Prototype / concept model," 2.8  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell´Ortho,Liquid,,120/80-14 ,150/60-14 ,Single disc. Ventilated,Single disc. Ventilated,,,1860 mm (73.2 inches),706 mm (27.8 inches),,,10.5:1,,,Shaft drive (cardan)   (final drive),,,,,1140 mm (44.9 inches),7.00 litres (1.85 US gallons),Electric,,,Automatic,,,,,,Yellow/black,CDI,,,,Oil pump,180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ER-6f,2007,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"Twin, four-stroke",66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 7000 RPM,,Liquid,6-speed,120/70-17 ,160/60-17 ,"Double disc. Halfswimming stored 300-mm, double disk brake with Petal disks",,178.0 kg (392.4 pounds),,,,71.1 HP (51.9  kW)) @ 8500 RPM,,11.3:1,,Double Overhead Cams/Twin Cam (DOHC),,"Dia. moon, high-strength steel",0.3993 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,1410 mm (55.5 inches),15.50 litres (4.10 US gallons),Electric,ABS,83.0 x 60.0 mm (3.3 x 2.4 inches),,,,,,,,,,41-mm-Telefork,"On the right of installed, diagonally employed shock strut with adjustable initial stress in the spring",,220 mm (8.7 inches),,,120 mm (4.7 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX125,2007,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, two-stroke",,Carburettor. Mikuni TMX38x,,6-speed,80/100-21 ,100/90-19 ,,,87.0 kg (191.8 pounds),1265 mm (49.8 inches),2165 mm (85.2 inches),815 mm (32.1 inches),,,10.9:1,,,,,,"945 mm (37.2 inches) If adjustable, lowest setting.",,1470 mm (57.9 inches),8.20 litres (2.17 US gallons),,,54.0 x 54.5 mm (2.1 x 2.1 inches),,,,,27.0°,,Lime Green,Digital CDI,113 mm (4.4 inches),48 mm upside-down cartridge-type telescopic fork with 16-way compression and 16-way rebound damping,"New Uni-Trak with adjustable preload, 16-way compression and 16-way rebound damping",,,,,300 mm (11.8 inches),310 mm (12.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj CT 100,2007,Sport," 2.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",99.3 ccm (6.06 cubic inches),"Single cylinder, four-stroke",8.1 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,Carburettor.  Keihin-Fie,Air,4-speed,,,Expanding brake (drum brake),Expanding brake (drum brake),109.0 kg (240.3 pounds),1065 mm (41.9 inches),1945 mm (76.6 inches),770 mm (30.3 inches),8.2 HP (6.0  kW)) @ 7500 RPM,,,,,Chain   (final drive),Tubular construction,0.0752 HP/kg,,,1235 mm (48.6 inches),10.50 litres (2.77 US gallons),,,,,,,,,109.0 kg (240.3 pounds),,,,Telescopic,Swing arm type with dual co-axial springs (spring-in-spring) and hydraulic shock absorbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL200GY-7,2007,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",15.5 Nm (1.6 kgf-m or 11.4 ft.lbs) @ 7200 RPM,,Air,,2.75-21 ,4.10-18 ,Single disc,Single disc,115.0 kg (253.5 pounds),1230 mm (48.4 inches),2180 mm (85.8 inches),890 mm (35.0 inches),16.8 HP (12.2  kW)) @ 8000 RPM,95.0 km/h (59.0 mph),9.2:1,,,Chain   (final drive),,0.1457 HP/kg,,,1355 mm (53.3 inches),,,,69.0 x 54.0 mm (2.7 x 2.1 inches),,,,,,,,CDI Electronic ignition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Stalker 50,2007,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,Air,Automatic,120/90-10 ,130/90-10 ,Single disc,Expanding brake (drum brake),,,1760 mm (69.3 inches),720 mm (28.3 inches),,48.3 km/h (30.0 mph),,,,Belt   (final drive),,,,,1230 mm (48.4 inches),6.00 litres (1.59 US gallons),Electric & kick,,40.0 x 39.3 mm (1.6 x 1.5 inches),Automatic dry centrifuge type,,,,,80.0 kg (176.4 pounds),,Electronic CDI,,Upside-down fork with 30 mm stanchions,"Hydraulic single shock absorber, co-axial adjustable coil spring",Separate with automatic mixer,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 695,2007,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",695.0 ccm (42.41 cubic inches),"V2, four-stroke",61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 6200 RPM,"Injection.  Marelli electronic fuel injection, 45 mm throttle body ",Air,6-speed,120/60-ZR17 ,160/60-ZR17 ,Double disc,Single disc,168.0 kg (370.4 pounds),,,,72.0 HP (52.6  kW)) @ 8500 RPM,,10.5:1,2,Desmodromic valve control,Chain   (final drive),Tubular steel trellis frame ,0.4286 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,1440 mm (56.7 inches),14.00 litres (3.70 US gallons),,,88.0 x 57.2 mm (3.5 x 2.3 inches),APTC wet multiplate with hydraulic control ,,,2 aluminium mufflers ,24.0°,,"(red - red - black) (matte black - matte black - black) (black - red - black) ,",,,Marzocchi 43 mm upside-down fork ,Progressive linkage with preload and rebound Sachs adjustable monoshock ,,245 mm (9.6 inches),,,130 mm (5.1 inches),148 mm (5.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Aragon,2007,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,Carburettor,Air,Automatic,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),,1145 mm (45.1 inches),1790 mm (70.5 inches),650 mm (25.6 inches),3.9 HP (2.8  kW)) @ 5900 RPM,,,,,Belt   (final drive),,,,,,8.00 litres (2.11 US gallons),Electric & kick,,,,,,,,,"Silver, anthrasit, blue 

",,,,,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF Motor DF125,2007,Allround," 2.4  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,Carburettor,Air,,2.50-18 ,3.00-18 ,Single disc,Expanding brake (drum brake),96.0 kg (211.6 pounds),,,,11.0 HP (8.0  kW)) @ 9000 RPM,95.0 km/h (59.0 mph),,,,,,0.1145 HP/kg,,,,,Kick,Chinese motorcycle.,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi xRace 50 R,2007,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,Carburettor.  Dell´Orto PHVA 14,Liquid,6-speed,80/90-21 ,110/80-18 ,Single disc,Single disc,,1095 mm (43.1 inches),1980 mm (78.0 inches),805 mm (31.7 inches),8.5 HP (6.2  kW)) @ 9000 RPM,,,,,Chain   (final drive),,,,,1355 mm (53.3 inches),7.00 litres (1.85 US gallons),,,39.9 x 40.0 mm (1.6 x 1.6 inches),Multiplate,,,,,,"Black, Blue",Electronic CDI,,"Hydraulic fork, 36 mm",Monoshock,Oil pump,180 mm (7.1 inches),,,195 mm (7.7 inches),180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California Classic,2007,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",,Injection.  Magneti Marelli IAW alfa-n system Multipoint phased sequential fuel injection,Air,5-speed,110/90-VB18 ,150/70-VB17 ,Double disc,Single disc,251.0 kg (553.4 pounds),,2380 mm (93.7 inches),815 mm (32.1 inches),,,9.8:1,2,,Shaft drive (cardan)   (final drive),Detachable  tubular duplex cradle in special high-strengh steel,,"762 mm (30.0 inches) If adjustable, lowest setting.",,1560 mm (61.4 inches),14.00 litres (3.70 US gallons),Electric,,92.0 x 80.0 mm (3.6 x 3.1 inches),,,,"Steel,  2 tubes connected to an expansion room, that is connected               to 2 steel mufflers. Catalyzed with Lambda probe (EURO               2)",29.0°,,Grigio Trend,Magneti Marelli IAW 15RC electronic digital ignition with inductive               spark,116 mm (4.6 inches),Marzocchi 40 mm hydraulic,"Swing arm in light cast alloy with two dampers, spring adjustable for pre-load and rebound","Forced  lobes, with geared pump and pressure regulator",260 mm (10.2 inches),,,140 mm (5.5 inches),96 mm (3.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 50 Senior Adventure,2007,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,Carburettor.  Dell´Orto PHVA 14 DS,Air,,2.50-10 ,2.50-10 ,Expanding brake (drum brake),Expanding brake (drum brake),38.4 kg (84.7 pounds),,,,,,,,,Chain   (final drive),Central double-cradle-type frame,,"650 mm (25.6 inches) If adjustable, lowest setting.",255 mm (10.0 inches),1030 mm (40.6 inches),2.00 litres (0.53 US gallons),Kick,,39.5 x 40.0 mm (1.6 x 1.6 inches),"Centrifugal clutch, adjustable",,,Aluminium,24.0°,,,Seletra analogue,,Marzocchi Ã˜ 32 mm (1.26,Paioli monoshock,"0,15 - 0,2 l Motorex ATF Super",160 mm (6.3 inches),,,115 mm (4.5 inches),185 mm (7.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Atlantis Bullet 2t,2007,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,Air,Automatic,120/70-12 ,120/70-12 ,Single disc,Expanding brake (drum brake),86.0 kg (189.6 pounds),,1810 mm (71.3 inches),,,,10.5:1,,,,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,1265 mm (49.8 inches),7.10 litres (1.88 US gallons),Electric & kick,,40.0 x 39.3 mm (1.6 x 1.5 inches),,,,,,,,CDI,,conventional hydraulic Bracket Crossed,linear Monoamortiguador. Crossed,,110 mm (4.3 inches),,,65 mm (2.6 inches),65 mm (2.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 50cs SM Champion France Replica,2007,Super motard," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,Carburettor,Liquid,6-speed,2.50-17 ,3.00-17 ,Single disc. AJP,Single disc. AJP,83.0 kg (183.0 pounds),,,,,,,,Overhead Cams (OHC),,Built from Chrome-molybdenum forming a single structure.,,"850 mm (33.5 inches) If adjustable, lowest setting.",260 mm (10.2 inches),1360 mm (53.5 inches),7.00 litres (1.85 US gallons),Kick,Minarelli AM6 engine.,40.3 x 39.0 mm (1.6 x 1.5 inches),Multidisc in oil bath,,,Steel tube with aluminium silencer,,,Green/gray,Electronic,,Paioli 41mm dia hydraulic telescopic fork,"Olle single shock absorber, adjustable spring preload",Nikasil coated cylinder with automatic oil injection (unleaded gasoline),180 mm (7.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Tre 1130 K Amazonas,2007,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1130.0 ccm (68.95 cubic inches),"In-line three, four-stroke",115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 6250 RPM,Injection.  Electronic injection with 1 injector per cylinder,Liquid,6-speed,120/70-17 ,120/70-17 ,Double disc,Single disc. Bremo,205.0 kg (451.9 pounds),,,,123.4 HP (90.1  kW)) @ 9000 RPM,,,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),"Mixed solution. Front: ASD steel tube trellis,",0.6018 HP/kg,,,1514 mm (59.6 inches),,Electric,,88.0 x 62.0 mm (3.5 x 2.4 inches),Wet clutch,,,,,,,Single coil inductive discharge electronic ignition,,,                            ASD steel tube trellis swingarm with,Wet sump,320 mm (12.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 900 Custom,2007,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",82.4 Nm (8.4 kgf-m or 60.8 ft.lbs) @ 3700 RPM,Injection. EFI with 34mm Keihin Throttle Bodies (2),Liquid,5-speed,80/90-21 ,180/70-15 ,Single disc,Single disc,249.0 kg (549.0 pounds),1120 mm (44.1 inches),2405 mm (94.7 inches),894 mm (35.2 inches),,,9.5:1,,Single Overhead Cams (SOHC),Belt   (final drive),,,"686 mm (27.0 inches) If adjustable, lowest setting.",,1646 mm (64.8 inches),20.06 litres (5.30 US gallons),,,88.0 x 74.2 mm (3.5 x 2.9 inches),,,,,33.0°,,"Candy Plasma Blue,  Candy Fire Red,  Ebony",,160 mm (6.3 inches),41mm hydraulic telescopic fork / 5.9 in.,"Uni-TrakÂ® swingarm, seven-way adjustable spring preload  / 4.1 in.",,300 mm (11.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ6,2007,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",,"Injection.  Group Fuel Injection, 36mm throttle bodies",Liquid,6-speed,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,186.0 kg (410.0 pounds),1209 mm (47.6 inches),2096 mm (82.5 inches),749 mm (29.5 inches),,,12.2:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,"795 mm (31.3 inches) If adjustable, lowest setting.",,1440 mm (56.7 inches),19.30 litres (5.10 US gallons),,,65.5 x 44.5 mm (2.6 x 1.8 inches),,,,,25.0°,,,Digital TCI,97 mm (3.8 inches),"43mm telescopic fork, 5.1´","Single shock, adjustable preload",,245 mm (9.6 inches),,,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB Laser (125cc),2007,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,Air,Automatic,80/80-14 ,110/80-14 ,Single disc,Expanding brake (drum brake),105.0 kg (231.5 pounds),1160 mm (45.7 inches),1880 mm (74.0 inches),715 mm (28.1 inches),8.6 HP (6.3  kW)) @ 7500 RPM,,9.2:1,,,Belt   (final drive),,0.0819 HP/kg,,,,6.80 litres (1.80 US gallons),Electric & kick,,52.4 x 57.8 mm (2.1 x 2.3 inches),C.V.T,,,,,,"Red, Black, Blue",C.D.I,,,,Compress  and  Splash Combined Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem RX2 Motard,2007,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,Liquid,1-speed,90/90-10 ,90/90-20 ,Single disc,Single disc,41.2 kg (90.9 pounds),,1300 mm (51.2 inches),,12.6 HP (9.2  kW)) @ 13500 RPM,,,,Overhead Cams (OHC),Chain   (final drive),Steel tubes with alluminium swing armi brake pedal and rear body,0.3055 HP/kg,"605 mm (23.8 inches) If adjustable, lowest setting.",210 mm (8.3 inches),910 mm (35.8 inches),2.00 litres (0.53 US gallons),Electric & kick,,1.5 x 0.0 mm (0.1 x  inches),,,,Expansion with silencer,,,Multicolored,Electronics with micro processor,,Fixed marzocchi,Fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
